p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
1.37874916764309e-36	0.811028972861666	0.86	0.887	2.92101798656865e-32	EIF2AK2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.61774199167659e-36	0.596062614580782	0.8	0.338	3.42734818356603e-32	HSH2D	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.10077039665779e-36	0.908767479674886	0.98	0.922	4.4506921623592e-32	GPBP1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.21610388991238e-36	-0.795493402908279	0.94	0.998	6.81363770116837e-32	MGST3	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.00894359166278e-36	0.846391983271644	0.74	0.266	1.27305478932968e-31	CSRNP1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.73631953543734e-36	0.854048635968158	0.98	0.878	1.42715665677776e-31	ARID4B	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.61353049145706e-36	-1.09489335373096	1	1	1.61300256992009e-31	PIGR	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.11898827498917e-35	0.901532433881867	0.96	0.924	2.37068855939205e-31	RSRC2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.16660498474889e-35	-0.836679831778036	0.8	0.993	2.47156932068899e-31	TM9SF3	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.76104385753359e-35	-1.14431125553212	0.82	0.991	3.73094751657067e-31	PLS1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.2389906865723e-35	0.57251401743313	0.82	0.575	6.86212566857208e-31	OGFR	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.20739405264787e-35	-0.994969319738472	0.9	0.998	8.91378503993979e-31	CYSTM1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.96165548201684e-34	0.656022832157715	0.68	0.625	4.15596330420088e-30	OAS1	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.36807999208639e-34	0.939316843723678	0.96	0.819	7.13561427123422e-30	PIM3	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.65688570303254e-34	-1.02126329077088	1	1	7.74747805044473e-30	TMSB4X	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.64131066071685e-33	0.856714023004222	0.86	0.599	5.59588076579472e-29	CYLD	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.6775835923622e-33	0.617331453125165	0.8	0.719	9.90992859877856e-29	PML	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
4.99567362845129e-33	-0.942580067457741	0.78	0.991	1.05838341492369e-28	APLP2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
5.16250017224288e-33	0.681232017324948	0.78	0.723	1.09372728649138e-28	TRIM38	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.75297761067447e-33	-0.816858914589681	0.9	0.993	1.43068583659749e-28	ANXA4	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.4441511484313e-33	1.28304976330744	0.96	0.728	1.78897786230665e-28	CXCL2	Illeum_24h_Inmature Enterocyte 2_Infected_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
