p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
8.02939665543155e-52	0.491074877569272	0.717	0.346	1.70110797541973e-47	PPM1K	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
9.77464967207531e-52	0.612402479475876	0.762	0.401	2.07085727952587e-47	LY6E	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.58428984967001e-51	0.41261490557934	0.889	0.758	1.81866764755109e-46	RABGAP1L	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
7.03151671824359e-49	0.451318675675716	0.596	0.19	1.48969713192709e-44	SOCS1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
6.01396595668179e-48	0.794396090082906	0.961	0.902	1.2741188275826e-43	IRF1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.37726895066744e-47	0.4049859396572	0.852	0.763	2.91788199888403e-43	NMI	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.37377416429912e-46	0.421348417433328	0.75	0.397	2.91047794448412e-42	BATF2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.17182906582136e-46	0.426327807998886	0.913	0.839	4.60123705884914e-42	PHACTR4	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.80848296505725e-46	0.381591913270446	0.789	0.536	5.9500520097703e-42	TRIM5	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.1785432580727e-46	0.761147629467915	0.913	0.784	6.73406174655282e-42	ISG20	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.00053612555545e-45	0.687809653108883	0.84	0.667	2.11973583560178e-41	ZC3HAV1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.35375739495524e-45	-0.467497230677761	0.973	0.996	2.86807041695217e-41	CD63	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
3.83350803450861e-45	0.493764193512689	0.913	0.895	8.12167012190995e-41	ETS2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.03181864333209e-44	0.450174670364562	0.795	0.534	2.18601097776337e-40	STAT2	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
1.04139783917929e-44	0.334263059186968	0.696	0.364	2.20630546208524e-40	ETV7	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
2.80681988455592e-44	0.252971037703499	0.47	0.061	5.94652860742017e-40	IFITM1	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
8.31597607343126e-42	0.339264189498843	0.922	0.943	1.76182269091715e-37	NAMPT	Illeum_24h_Inmature Enterocyte 2_Bystander_v_Illeum_Mock_Inmature Enterocyte 2_Non-Infected
