p_val	avg_logFC	pct.1	pct.2	p_val_adj	gene	comparison
0.0138267790086694	0.493413154503361	1	0.592	1	DDX52	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.01392335746557	0.459066899470106	1	0.718	1	F2RL1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0140764199694928	0.350688547080545	0.5	0.172	1	ENO2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0141341357149883	0.567438188588889	1	0.776	1	SMCO4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0142083551637191	0.625812930536343	1	0.798	1	MYEOV2	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0145460566246026	0.276378069785806	0.25	0.034	1	NBPF10	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0145920257743939	0.436359610778678	1	0.374	1	CXXC5	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0149771348573615	0.329493261396223	0.75	0.184	1	SMYD4	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0150368744760033	-0.423437152051308	0	0.574	1	SLC30A10	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0150368744760043	-0.28009060745696	0	0.574	1	PTOV1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0150368744760043	-0.300418417836878	0	0.574	1	LPCAT3	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0152646782312499	0.349206072332075	0.75	0.825	1	N4BP1	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0155003317960661	-0.272070370184959	0	0.571	1	DCAF11	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0159750019205629	-0.303934248630417	0	0.567	1	EI24	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
0.0160310721848458	0.328827409149956	0.75	0.239	1	ZNF507	Colon_24h_Enterocyte 1_Infected_v_Colon_Mock_Enterocyte 1_Non-Infected
