ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
HLA-A	IL2RB	ciliated_cells	upreg	3	Bcell,Tcell_cyto,Treg
HLA-A	IL2RG	ciliated_cells	upreg	7	Bcell,MD_macrophage,Mastcell,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
HLA-A	KIR3DL2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-A	KLRC1	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-A	KLRC2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-A	KLRC3	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-A	KLRC4	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-A	LILRB2	ciliated_cells	upreg	4	DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage
HLA-B	CANX	ciliated_cells	upreg	10	Bcell,DC_plasma,MD_macrophage,Mastcell,NKcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
HLA-B	CD3D	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-B	CD3G	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-B	KIR3DL2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-B	KLRC1	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-B	KLRC2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-B	KLRC3	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-B	KLRC4	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-B	LILRB2	ciliated_cells	upreg	4	DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage
HLA-C	CD3D	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-C	CD3G	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-C	KIR3DL2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-C	KLRC1	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-C	KLRC2	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-C	KLRC3	ciliated_cells	upreg	2	Tcell_cyto,Treg
HLA-C	KLRC4	ciliated_cells	upreg	3	NKcell,Tcell_cyto,Treg
HLA-C	LILRA3	ciliated_cells	upreg	1	Nonresident_macrophage
HLA-C	LILRB2	ciliated_cells	upreg	4	DC_plasma,MD_macrophage,Nonresident_macrophage,Resident_macrophage
HLA-DMA	CD4	ciliated_cells	upreg	6	DC_plasma,MD_macrophage,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Treg
HLA-DMA	CD74	ciliated_cells	upreg	10	Bcell,DC_MD,DC_plasma,MD_macrophage,Mastcell,NKcell_prolif,Nonresident_macrophage,Resident_macrophage,Tcell_cyto,Treg
