SYMBOL	gene_symbol	human_protein	viral_protein
PSMD8	M	PSMD8	M
ATP6V1A	M	ATP6V1A	M
GGCX	M	GGCX	M
STOM	M	STOM	M
ETFA	M	ETFA	M
ACADM	M	ACADM	M
ATP1B1	M	ATP1B1	M
YIF1A	M	YIF1A	M
PMPCB	M	PMPCB	M
COX2	M	COX2	M
SGSM3	M	SGSM3	M
UNC50	M	UNC50	M
TNFAIP2	M	TNFAIP2	M
DNAJB2	M	DNAJB2	M
C5	M	C5	M
C5	orf8	C5	orf8
ENDOD1	M	ENDOD1	M
ENDOD1	nsp6	ENDOD1	nsp6
ARFGEF1	M	ARFGEF1	M
ARFGEF1	orf7a	ARFGEF1	orf7a
ARFGEF2	M	ARFGEF2	M
POMT1	M	POMT1	M
ALG6	M	ALG6	M
ALG6	orf7b	ALG6	orf7b
NUBP2	M	NUBP2	M
ATP6V0A2	M	ATP6V0A2	M
C2CD2	M	C2CD2	M
SLC45A1	M	SLC45A1	M
EXTL2	M	EXTL2	M
EXTL2	orf7b	EXTL2	orf7b
FANCI	M	FANCI	M
FANCI	orf7a	FANCI	orf7a
TYW1	M	TYW1	M
L2HGDH	M	L2HGDH	M
L2HGDH	orf7a	L2HGDH	orf7a
ATP13A3	M	ATP13A3	M
ATP13A3	nsp6	ATP13A3	nsp6
PPA2	M	PPA2	M
MTFR1L	M	MTFR1L	M
TRIM7	M	TRIM7	M
SLC29A3	M	SLC29A3	M
SLC25A2	M	SLC25A2	M
SDF4	M	SDF4	M
MIPEP	M	MIPEP	M
ERGIC2	M	ERGIC2	M
VPS13A	M	VPS13A	M
DERL3	M	DERL3	M
DERL3	nsp6	DERL3	nsp6
SLC46A1	M	SLC46A1	M
RNF145	M	RNF145	M
SPG11	M	SPG11	M
CDK5RAP3	M	CDK5RAP3	M
NARS2	M	NARS2	M
NARS2	nsp8	NARS2	nsp8
HOOK2	M	HOOK2	M
ACSF2	M	ACSF2	M
INTS12	M	INTS12	M
INTS12	orf7a	INTS12	orf7a
PIGT	M	PIGT	M
PIGT	nsp4	PIGT	nsp4
ATP2A3	M	ATP2A3	M
GGH	M	GGH	M
GGH	orf8	GGH	orf8
GGH	nsp4	GGH	nsp4
P3H4	M	P3H4	M
GBF1	M	GBF1	M
RUFY2	M	RUFY2	M
MAIP1	M	MAIP1	M
MCFD2	M	MCFD2	M
ATL2	M	ATL2	M
TOR1AIP2	M	TOR1AIP2	M
MROH1	M	MROH1	M
PDPR	M	PDPR	M
MACO1	M	MACO1	M
GUF1	M	GUF1	M
PYROXD2	M	PYROXD2	M
WDFY3	M	WDFY3	M
NLRX1	M	NLRX1	M
NLRX1	orf7a	NLRX1	orf7a
NLRX1	orf14	NLRX1	orf14
PRPF39	M	PRPF39	M
C6orf120	M	C6orf120	M
DGLUCY	M	DGLUCY	M
ATG9A	M	ATG9A	M
ATG9A	nsp6	ATG9A	nsp6
DRAM2	M	DRAM2	M
DRAM2	orf7b	DRAM2	orf7b
METTL7B	M	METTL7B	M
MTHFD1L	M	MTHFD1L	M
SARM1	M	SARM1	M
SARM1	nsp6	SARM1	nsp6
TTC27	M	TTC27	M
