SYMBOL	gene_symbol	human_protein	viral_protein
RBM39	nsp4	RBM39	nsp4
RBM39	nsp15	RBM39	nsp15
PUF60	nsp4	PUF60	nsp4
PUF60	nsp15	PUF60	nsp15
PLRG1	nsp4	PLRG1	nsp4
TRMT1L	nsp4	TRMT1L	nsp4
TRMT1L	nsp15	TRMT1L	nsp15
NVL	nsp4	NVL	nsp4
NVL	nsp15	NVL	nsp15
PRPF3	nsp4	PRPF3	nsp4
PRPF3	nsp15	PRPF3	nsp15
PWP1	nsp4	PWP1	nsp4
NOP56	nsp4	NOP56	nsp4
MRTO4	nsp4	MRTO4	nsp4
MRTO4	nsp15	MRTO4	nsp15
TOP1	nsp4	TOP1	nsp4
MKI67	nsp4	MKI67	nsp4
MTDH	nsp4	MTDH	nsp4
MTDH	nsp15	MTDH	nsp15
DDX41	nsp4	DDX41	nsp4
DDX41	nsp15	DDX41	nsp15
PRPF4B	nsp4	PRPF4B	nsp4
PRPF4B	nsp15	PRPF4B	nsp15
NKRF	nsp4	NKRF	nsp4
NKRF	nsp9	NKRF	nsp9
NKRF	nsp10	NKRF	nsp10
NKRF	nsp12	NKRF	nsp12
NKRF	nsp13	NKRF	nsp13
NKRF	nsp15	NKRF	nsp15
LARP4B	nsp4	LARP4B	nsp4
LARP4B	nsp12	LARP4B	nsp12
RBM34	nsp4	RBM34	nsp4
RBM34	nsp15	RBM34	nsp15
SCAF4	nsp4	SCAF4	nsp4
SCAF4	nsp15	SCAF4	nsp15
SRBD1	nsp4	SRBD1	nsp4
DDX24	nsp4	DDX24	nsp4
TBL3	nsp4	TBL3	nsp4
TBL3	nsp15	TBL3	nsp15
RFC3	nsp4	RFC3	nsp4
RFC3	nsp9	RFC3	nsp9
RFC3	nsp15	RFC3	nsp15
MRM3	nsp4	MRM3	nsp4
MRM3	nsp15	MRM3	nsp15
TIMM9	nsp4	TIMM9	nsp4
TIMM10B	nsp4	TIMM10B	nsp4
DNAJC11	nsp4	DNAJC11	nsp4
TIMM29	nsp4	TIMM29	nsp4
NUP210	nsp4	NUP210	nsp4
ALG11	nsp4	ALG11	nsp4
TIMM10	nsp4	TIMM10	nsp4
IDE	nsp4	IDE	nsp4
ARSL	nsp4	ARSL	nsp4
ENTPD6	nsp4	ENTPD6	nsp4
SERBP1	nsp5	SERBP1	nsp5
SERBP1	nsp13	SERBP1	nsp13
SERBP1	nsp14	SERBP1	nsp14
GPX1	nsp5	GPX1	nsp5
TRMT1	nsp5	TRMT1	nsp5
HDAC2	nsp5	HDAC2	nsp5
SIGMAR1	nsp6	SIGMAR1	nsp6
ATP5MG	nsp6	ATP5MG	nsp6
ATP6	nsp6	ATP6	nsp6
ZW10	nsp6	ZW10	nsp6
DOLK	nsp6	DOLK	nsp6
TMEM159	nsp6	TMEM159	nsp6
TMEM159	orf7b	TMEM159	orf7b
UBIAD1	nsp6	UBIAD1	nsp6
RHBDD3	nsp6	RHBDD3	nsp6
EMC3	nsp6	EMC3	nsp6
RMND1	nsp6	RMND1	nsp6
ABCB8	nsp6	ABCB8	nsp6
PIGU	nsp6	PIGU	nsp6
SLC6A15	nsp6	SLC6A15	nsp6
TTYH3	nsp6	TTYH3	nsp6
PTDSS2	nsp6	PTDSS2	nsp6
YIPF4	nsp6	YIPF4	nsp6
ADPGK	nsp6	ADPGK	nsp6
ADPGK	orf7b	ADPGK	orf7b
PIGS	nsp6	PIGS	nsp6
PIGS	orf14	PIGS	orf14
TMEM41A	nsp6	TMEM41A	nsp6
VMP1	nsp6	VMP1	nsp6
CERS2	nsp6	CERS2	nsp6
MFSD3	nsp6	MFSD3	nsp6
TLCD1	nsp6	TLCD1	nsp6
TLCD1	orf7b	TLCD1	orf7b
SCAMP4	nsp6	SCAMP4	nsp6
SCAMP4	orf7b	SCAMP4	orf7b
SLC7A6	nsp6	SLC7A6	nsp6
BRI3BP	nsp6	BRI3BP	nsp6
CANT1	nsp6	CANT1	nsp6
CANT1	orf7b	CANT1	orf7b
CHPT1	nsp6	CHPT1	nsp6
SLC35F6	nsp6	SLC35F6	nsp6
VKORC1L1	nsp6	VKORC1L1	nsp6
VKORC1L1	orf7b	VKORC1L1	orf7b
HACD2	nsp6	HACD2	nsp6
LPCAT3	nsp6	LPCAT3	nsp6
EMC10	nsp6	EMC10	nsp6
EMC4	nsp6	EMC4	nsp6
RABL3	nsp6	RABL3	nsp6
RABL3	orf7b	RABL3	orf7b
MSMO1	nsp6	MSMO1	nsp6
DHCR24	nsp6	DHCR24	nsp6
EBP	nsp6	EBP	nsp6
SLC39A14	nsp6	SLC39A14	nsp6
EMC2	nsp6	EMC2	nsp6
EVA1C	nsp6	EVA1C	nsp6
ATP5F1E	nsp6	ATP5F1E	nsp6
ATP5F1D	nsp6	ATP5F1D	nsp6
PEX2	nsp6	PEX2	nsp6
PEX2	orf7b	PEX2	orf7b
HLA-DMB	nsp6	HLA-DMB	nsp6
ATP5PB	nsp6	ATP5PB	nsp6
APOB	nsp6	APOB	nsp6
HMGCR	nsp6	HMGCR	nsp6
ND4	nsp6	ND4	nsp6
WFS1	nsp6	WFS1	nsp6
WFS1	orf14	WFS1	orf14
ATP5PD	nsp6	ATP5PD	nsp6
SLC19A2	nsp6	SLC19A2	nsp6
EMC8	nsp6	EMC8	nsp6
GPAA1	nsp6	GPAA1	nsp6
GPAA1	orf14	GPAA1	orf14
SURF4	nsp6	SURF4	nsp6
SLC33A1	nsp6	SLC33A1	nsp6
SLC33A1	orf7b	SLC33A1	orf7b
GPR89B	nsp6	GPR89B	nsp6
GPR89B	orf7b	GPR89B	orf7b
GPR89A	nsp6	GPR89A	nsp6
GPR89A	orf7b	GPR89A	orf7b
BLVRB	nsp7	BLVRB	nsp7
DCAKD	nsp7	DCAKD	nsp7
RAB18	nsp7	RAB18	nsp7
PTGES2	nsp7	PTGES2	nsp7
SELENOS	nsp7	SELENOS	nsp7
SELENOS	orf7b	SELENOS	orf7b
DNAJC19	nsp7	DNAJC19	nsp7
FAM162A	nsp7	FAM162A	nsp7
NAT14	nsp7	NAT14	nsp7
SCCPDH	nsp7	SCCPDH	nsp7
SCCPDH	orf7b	SCCPDH	orf7b
NDUFAF2	nsp7	NDUFAF2	nsp7
HS2ST1	nsp7	HS2ST1	nsp7
QSOX2	nsp7	QSOX2	nsp7
QSOX2	orf7b	QSOX2	orf7b
MARC1	nsp7	MARC1	nsp7
MARC1	orf9b	MARC1	orf9b
TOR1AIP1	nsp7	TOR1AIP1	nsp7
MOGS	nsp7	MOGS	nsp7
GNG5	nsp7	GNG5	nsp7
GNB1	nsp7	GNB1	nsp7
RHOA	nsp7	RHOA	nsp7
RAB10	nsp7	RAB10	nsp7
RAB5C	nsp7	RAB5C	nsp7
COMT	nsp7	COMT	nsp7
COMT	orf7b	COMT	orf7b
RALA	nsp7	RALA	nsp7
CYB5R3	nsp7	CYB5R3	nsp7
ACSL3	nsp7	ACSL3	nsp7
CYB5B	nsp7	CYB5B	nsp7
AGPS	nsp7	AGPS	nsp7
PAICS	nsp8	PAICS	nsp8
WDR6	nsp8	WDR6	nsp8
WDR6	nsp12	WDR6	nsp12
WDR6	nsp13	WDR6	nsp13
ENO1	nsp8	ENO1	nsp8
YWHAQ	nsp8	YWHAQ	nsp8
YWHAQ	nsp10	YWHAQ	nsp10
YWHAQ	orf14	YWHAQ	orf14
PPP1CB	nsp8	PPP1CB	nsp8
PPP1CB	nsp10	PPP1CB	nsp10
PPP1CB	nsp13	PPP1CB	nsp13
PPP1CB	orf9b	PPP1CB	orf9b
LDHA	nsp8	LDHA	nsp8
LDHA	nsp13	LDHA	nsp13
SEPSECS	nsp8	SEPSECS	nsp8
NOL10	nsp8	NOL10	nsp8
EXOSC2	nsp8	EXOSC2	nsp8
EXOSC2	nsp15	EXOSC2	nsp15
MRPS5	nsp8	MRPS5	nsp8
MRPS2	nsp8	MRPS2	nsp8
HECTD1	nsp8	HECTD1	nsp8
AATF	nsp8	AATF	nsp8
EXOSC3	nsp8	EXOSC3	nsp8
EXOSC5	nsp8	EXOSC5	nsp8
CCDC86	nsp8	CCDC86	nsp8
EXOSC8	nsp8	EXOSC8	nsp8
NGDN	nsp8	NGDN	nsp8
MEPCE	nsp8	MEPCE	nsp8
LARP7	nsp8	LARP7	nsp8
DDX10	nsp8	DDX10	nsp8
MRPS25	nsp8	MRPS25	nsp8
SRP54	nsp8	SRP54	nsp8
SRP19	nsp8	SRP19	nsp8
NSD2	nsp8	NSD2	nsp8
ATE1	nsp8	ATE1	nsp8
SRP72	nsp8	SRP72	nsp8
MPHOSPH10	nsp8	MPHOSPH10	nsp8
FOCAD	nsp8	FOCAD	nsp8
HERC1	nsp8	HERC1	nsp8
IFIH1	nsp8	IFIH1	nsp8
IFIH1	orf9b	IFIH1	orf9b
C1QBP	nsp9	C1QBP	nsp9
C1QBP	nsp10	C1QBP	nsp10
FBN2	nsp9	FBN2	nsp9
FBLN5	nsp9	FBLN5	nsp9
MAT2B	nsp9	MAT2B	nsp9
NUP58	nsp9	NUP58	nsp9
NUP88	nsp9	NUP88	nsp9
ZNF503	nsp9	ZNF503	nsp9
NEK9	nsp9	NEK9	nsp9
SPART	nsp9	SPART	nsp9
MIB1	nsp9	MIB1	nsp9
NUP54	nsp9	NUP54	nsp9
EIF4H	nsp9	EIF4H	nsp9
DCAF7	nsp9	DCAF7	nsp9
NUP62	nsp9	NUP62	nsp9
NUP214	nsp9	NUP214	nsp9
FBN1	nsp9	FBN1	nsp9
GTF2F2	nsp9	GTF2F2	nsp9
SETD2	nsp9	SETD2	nsp9
STAT6	nsp9	STAT6	nsp9
AIFM1	nsp10	AIFM1	nsp10
FLNC	nsp10	FLNC	nsp10
FLNC	nsp14	FLNC	nsp14
FLNC	orf9b	FLNC	orf9b
RBBP7	nsp10	RBBP7	nsp10
RBBP7	orf14	RBBP7	orf14
DDX39A	nsp10	DDX39A	nsp10
PCBP2	nsp10	PCBP2	nsp10
PCBP2	nsp14	PCBP2	nsp14
ZYX	nsp10	ZYX	nsp10
KHSRP	nsp10	KHSRP	nsp10
KHSRP	nsp14	KHSRP	nsp14
GALK1	nsp10	GALK1	nsp10
GALK1	orf14	GALK1	orf14
TPM4	nsp10	TPM4	nsp10
AASDHPPT	nsp10	AASDHPPT	nsp10
GRPEL1	nsp10	GRPEL1	nsp10
AP2M1	nsp10	AP2M1	nsp10
ERGIC1	nsp10	ERGIC1	nsp10
GFER	nsp10	GFER	nsp10
AP2A2	nsp10	AP2A2	nsp10
PSMA4	nsp12	PSMA4	nsp12
PSMA4	nsp13	PSMA4	nsp13
CCT8	nsp12	CCT8	nsp12
TPM3	nsp12	TPM3	nsp12
PLEKHA5	nsp12	PLEKHA5	nsp12
PPIL3	nsp12	PPIL3	nsp12
TCF12	nsp12	TCF12	nsp12
RBM41	nsp12	RBM41	nsp12
ZC3H7A	nsp12	ZC3H7A	nsp12
USP54	nsp12	USP54	nsp12
CRTC3	nsp12	CRTC3	nsp12
ZNF318	nsp12	ZNF318	nsp12
UBAP2	nsp12	UBAP2	nsp12
PRRC2B	nsp12	PRRC2B	nsp12
PDZD11	nsp12	PDZD11	nsp12
TYSND1	nsp12	TYSND1	nsp12
UBAP2L	nsp12	UBAP2L	nsp12
RIPK1	nsp12	RIPK1	nsp12
SLU7	nsp12	SLU7	nsp12
AKAP8	nsp12	AKAP8	nsp12
BCKDK	nsp12	BCKDK	nsp12
SBNO1	nsp12	SBNO1	nsp12
CCT3	nsp13	CCT3	nsp13
CCT3	nsp14	CCT3	nsp14
CCT3	orf14	CCT3	orf14
PPM1B	nsp13	PPM1B	nsp13
ALDOA	nsp13	ALDOA	nsp13
PRKACA	nsp13	PRKACA	nsp13
CIT	nsp13	CIT	nsp13
NINL	nsp13	NINL	nsp13
HOOK1	nsp13	HOOK1	nsp13
TBK1	nsp13	TBK1	nsp13
TBK1	orf9b	TBK1	orf9b
CEP250	nsp13	CEP250	nsp13
C1orf50	nsp13	C1orf50	nsp13
FYCO1	nsp13	FYCO1	nsp13
GORASP1	nsp13	GORASP1	nsp13
AKAP9	nsp13	AKAP9	nsp13
CDK5RAP2	nsp13	CDK5RAP2	nsp13
JAKMIP1	nsp13	JAKMIP1	nsp13
GCC1	nsp13	GCC1	nsp13
USP13	nsp13	USP13	nsp13
MIPOL1	nsp13	MIPOL1	nsp13
CEP112	nsp13	CEP112	nsp13
NIN	nsp13	NIN	nsp13
CLIP4	nsp13	CLIP4	nsp13
GCC2	nsp13	GCC2	nsp13
ERC1	nsp13	ERC1	nsp13
CNTRL	nsp13	CNTRL	nsp13
CEP68	nsp13	CEP68	nsp13
CEP135	nsp13	CEP135	nsp13
PDE4DIP	nsp13	PDE4DIP	nsp13
CEP350	nsp13	CEP350	nsp13
GRIPAP1	nsp13	GRIPAP1	nsp13
GOLGA2	nsp13	GOLGA2	nsp13
GOLGA3	nsp13	GOLGA3	nsp13
TLE5	nsp13	TLE5	nsp13
TLE3	nsp13	TLE3	nsp13
TLE1	nsp13	TLE1	nsp13
CENPF	nsp13	CENPF	nsp13
RDX	nsp13	RDX	nsp13
PRKAR2B	nsp13	PRKAR2B	nsp13
PRKAR2A	nsp13	PRKAR2A	nsp13
FGFR1OP	nsp13	FGFR1OP	nsp13
PCNT	nsp13	PCNT	nsp13
HSBP1	nsp13	HSBP1	nsp13
TBKBP1	nsp13	TBKBP1	nsp13
RNF8	nsp13	RNF8	nsp13
PCBP1	nsp14	PCBP1	nsp14
PCBP1	orf14	PCBP1	orf14
TCP1	nsp14	TCP1	nsp14
TCP1	orf14	TCP1	orf14
CRKL	nsp14	CRKL	nsp14
CAPZA2	nsp14	CAPZA2	nsp14
FASN	nsp14	FASN	nsp14
SIRT5	nsp14	SIRT5	nsp14
GLA	nsp14	GLA	nsp14
PEG10	nsp14	PEG10	nsp14
ZNF250	nsp14	ZNF250	nsp14
PAK1IP1	nsp15	PAK1IP1	nsp15
XRN2	nsp15	XRN2	nsp15
U2AF1	nsp15	U2AF1	nsp15
U2AF1L5	nsp15	U2AF1L5	nsp15
EXOSC7	nsp15	EXOSC7	nsp15
LUC7L2	nsp15	LUC7L2	nsp15
RPS14	nsp15	RPS14	nsp15
NOP2	nsp15	NOP2	nsp15
RPS17	nsp15	RPS17	nsp15
MTREX	nsp15	MTREX	nsp15
EBNA1BP2	nsp15	EBNA1BP2	nsp15
MRPL15	nsp15	MRPL15	nsp15
SRSF5	nsp15	SRSF5	nsp15
HNRNPUL2	nsp15	HNRNPUL2	nsp15
ZFC3H1	nsp15	ZFC3H1	nsp15
DKC1	nsp15	DKC1	nsp15
PRKRA	nsp15	PRKRA	nsp15
KRI1	nsp15	KRI1	nsp15
SART3	nsp15	SART3	nsp15
HP1BP3	nsp15	HP1BP3	nsp15
BOP1	nsp15	BOP1	nsp15
ARHGEF2	nsp15	ARHGEF2	nsp15
RNF41	nsp15	RNF41	nsp15
ARF6	nsp15	ARF6	nsp15
NUTF2	nsp15	NUTF2	nsp15
MUC13	nsp16	MUC13	nsp16
NEMF	nsp16	NEMF	nsp16
CALM1	orf9b	CALM1	orf9b
CALM2	orf9b	CALM2	orf9b
CALM3	orf9b	CALM3	orf9b
TOMM70	orf9b	TOMM70	orf9b
MARCKS	orf9b	MARCKS	orf9b
ZFR	orf9b	ZFR	orf9b
RAP1B	orf9b	RAP1B	orf9b
CRABP2	orf9b	CRABP2	orf9b
PTBP2	orf9b	PTBP2	orf9b
MARK1	orf9b	MARK1	orf9b
DCTPP1	orf9b	DCTPP1	orf9b
DPH5	orf9b	DPH5	orf9b
MARK2	orf9b	MARK2	orf9b
MARK3	orf9b	MARK3	orf9b
CHMP2A	orf9b	CHMP2A	orf9b
SLC9A3R1	orf9b	SLC9A3R1	orf9b
MAVS	orf9b	MAVS	orf9b
MAVS	orf7b	MAVS	orf7b
DDX58	orf9b	DDX58	orf9b
STING1	orf9b	STING1	orf9b
DDX23	orf14	DDX23	orf14
RUVBL1	orf14	RUVBL1	orf14
ANXA2	orf14	ANXA2	orf14
CCT7	orf14	CCT7	orf14
STIP1	orf14	STIP1	orf14
TIMM50	orf14	TIMM50	orf14
RPS27	orf14	RPS27	orf14
PARP1	orf14	PARP1	orf14
CDK1	orf14	CDK1	orf14
LBR	orf14	LBR	orf14
RO60	orf14	RO60	orf14
RO60	orf7b	RO60	orf7b
SLC25A10	orf14	SLC25A10	orf14
PCNA	orf14	PCNA	orf14
TMED5	orf14	TMED5	orf14
DPY19L1	orf14	DPY19L1	orf14
NDUFB9	orf14	NDUFB9	orf14
NDUFAF1	orf14	NDUFAF1	orf14
BCS1L	orf14	BCS1L	orf14
ACAD9	orf14	ACAD9	orf14
GHITM	orf14	GHITM	orf14
TMEM39B	orf14	TMEM39B	orf14
ALG8	orf14	ALG8	orf14
ALG8	orf7b	ALG8	orf7b
ECSIT	orf14	ECSIT	orf14
FAR2	orf14	FAR2	orf14
PIGO	orf14	PIGO	orf14
PIGO	orf7b	PIGO	orf7b
RETREG3	orf14	RETREG3	orf14
RETREG3	orf7b	RETREG3	orf7b
ERMP1	orf14	ERMP1	orf14
ERMP1	orf7b	ERMP1	orf7b
TAPT1	orf14	TAPT1	orf14
SLC30A6	orf14	SLC30A6	orf14
TMEM97	orf14	TMEM97	orf14
SCAP	orf14	SCAP	orf14
SCAP	orf7b	SCAP	orf7b
F2RL1	orf14	F2RL1	orf14
ABCC1	orf14	ABCC1	orf14
UBXN8	orf14	UBXN8	orf14
NOC3L	orf7b	NOC3L	orf7b
FAM20C	orf7b	FAM20C	orf7b
GALNT12	orf7b	GALNT12	orf7b
GALNT10	orf7b	GALNT10	orf7b
APOOL	orf7b	APOOL	orf7b
CYBRD1	orf7b	CYBRD1	orf7b
TUSC3	orf7b	TUSC3	orf7b
GPD2	orf7b	GPD2	orf7b
GLCE	orf7b	GLCE	orf7b
SYNGR3	orf7b	SYNGR3	orf7b
GPR39	orf7b	GPR39	orf7b
ADGRG1	orf7b	ADGRG1	orf7b
PTRH2	orf7b	PTRH2	orf7b
TMED7	orf7b	TMED7	orf7b
TMED7-TICAM2	orf7b	TMED7-TICAM2	orf7b
DHRS7	orf7b	DHRS7	orf7b
KLHDC2	orf7b	KLHDC2	orf7b
LEMD3	orf7b	LEMD3	orf7b
DIS3	orf7b	DIS3	orf7b
EXOG	orf7b	EXOG	orf7b
WDR83OS	orf7b	WDR83OS	orf7b
ENTPD4	orf7b	ENTPD4	orf7b
TIMELESS	orf7b	TIMELESS	orf7b
MAN1B1	orf7b	MAN1B1	orf7b
PGAP2	orf7b	PGAP2	orf7b
SLC2A6	orf7b	SLC2A6	orf7b
PISD	orf7b	PISD	orf7b
MTFP1	orf7b	MTFP1	orf7b
B4GALT7	orf7b	B4GALT7	orf7b
CALML5	orf7b	CALML5	orf7b
ELOVL5	orf7b	ELOVL5	orf7b
ZDHHC3	orf7b	ZDHHC3	orf7b
PAQR5	orf7b	PAQR5	orf7b
NDUFB11	orf7b	NDUFB11	orf7b
TMEM248	orf7b	TMEM248	orf7b
ZDHHC18	orf7b	ZDHHC18	orf7b
GINM1	orf7b	GINM1	orf7b
AGPAT3	orf7b	AGPAT3	orf7b
OSTC	orf7b	OSTC	orf7b
ST7	orf7b	ST7	orf7b
ALG13	orf7b	ALG13	orf7b
TM9SF3	orf7b	TM9SF3	orf7b
CELSR2	orf7b	CELSR2	orf7b
VEZT	orf7b	VEZT	orf7b
RDH14	orf7b	RDH14	orf7b
FKRP	orf7b	FKRP	orf7b
GORASP2	orf7b	GORASP2	orf7b
VSIR	orf7b	VSIR	orf7b
LDAH	orf7b	LDAH	orf7b
ZDHHC6	orf7b	ZDHHC6	orf7b
ELOVL6	orf7b	ELOVL6	orf7b
TMX1	orf7b	TMX1	orf7b
UNC93B1	orf7b	UNC93B1	orf7b
NT5C3A	orf7b	NT5C3A	orf7b
CNTNAP3	orf7b	CNTNAP3	orf7b
FUT8	orf7b	FUT8	orf7b
CACNG6	orf7b	CACNG6	orf7b
LGR4	orf7b	LGR4	orf7b
SGPP1	orf7b	SGPP1	orf7b
STRA6	orf7b	STRA6	orf7b
HIGD2A	orf7b	HIGD2A	orf7b
TMEM106C	orf7b	TMEM106C	orf7b
TMED9	orf7b	TMED9	orf7b
HTATIP2	orf7b	HTATIP2	orf7b
TMEM70	orf7b	TMEM70	orf7b
NDC1	orf7b	NDC1	orf7b
PRXL2A	orf7b	PRXL2A	orf7b
TIMM17A	orf7b	TIMM17A	orf7b
PLIN2	orf7b	PLIN2	orf7b
SORT1	orf7b	SORT1	orf7b
S1PR3	orf7b	S1PR3	orf7b
SLC38A2	orf7b	SLC38A2	orf7b
TLCD4	orf7b	TLCD4	orf7b
TMEM68	orf7b	TMEM68	orf7b
SAMD8	orf7b	SAMD8	orf7b
B3GALT6	orf7b	B3GALT6	orf7b
C1orf159	orf7b	C1orf159	orf7b
BSCL2	orf7b	BSCL2	orf7b
ALG14	orf7b	ALG14	orf7b
TVP23C	orf7b	TVP23C	orf7b
TVP23C-CDRT4	orf7b	TVP23C-CDRT4	orf7b
ORAI1	orf7b	ORAI1	orf7b
TAMM41	orf7b	TAMM41	orf7b
VTI1A	orf7b	VTI1A	orf7b
PNPLA2	orf7b	PNPLA2	orf7b
MUL1	orf7b	MUL1	orf7b
PEX13	orf7b	PEX13	orf7b
SYMPK	orf7b	SYMPK	orf7b
LPAR1	orf7b	LPAR1	orf7b
SGCD	orf7b	SGCD	orf7b
TM9SF4	orf7b	TM9SF4	orf7b
POMGNT1	orf7b	POMGNT1	orf7b
SCFD1	orf7b	SCFD1	orf7b
SLC35F5	orf7b	SLC35F5	orf7b
ABHD5	orf7b	ABHD5	orf7b
GPX8	orf7b	GPX8	orf7b
CSGALNACT1	orf7b	CSGALNACT1	orf7b
TRPM4	orf7b	TRPM4	orf7b
TMEM254	orf7b	TMEM254	orf7b
GOLGA5	orf7b	GOLGA5	orf7b
SLC30A5	orf7b	SLC30A5	orf7b
MFSD8	orf7b	MFSD8	orf7b
TSPAN14	orf7b	TSPAN14	orf7b
CHST14	orf7b	CHST14	orf7b
DAGLB	orf7b	DAGLB	orf7b
RETREG2	orf7b	RETREG2	orf7b
TMEM87A	orf7b	TMEM87A	orf7b
GOLM1	orf7b	GOLM1	orf7b
XXYLT1	orf7b	XXYLT1	orf7b
FITM2	orf7b	FITM2	orf7b
SLC15A4	orf7b	SLC15A4	orf7b
TMEM199	orf7b	TMEM199	orf7b
PNKD	orf7b	PNKD	orf7b
TMEM256	orf7b	TMEM256	orf7b
TMEM192	orf7b	TMEM192	orf7b
ZDHHC21	orf7b	ZDHHC21	orf7b
ZDHHC13	orf7b	ZDHHC13	orf7b
METTL16	orf7b	METTL16	orf7b
SLC47A2	orf7b	SLC47A2	orf7b
GPAT4	orf7b	GPAT4	orf7b
TMEM135	orf7b	TMEM135	orf7b
ADGRG6	orf7b	ADGRG6	orf7b
TMED4	orf7b	TMED4	orf7b
NIPA1	orf7b	NIPA1	orf7b
TMPPE	orf7b	TMPPE	orf7b
DPY19L3	orf7b	DPY19L3	orf7b
SCARA5	orf7b	SCARA5	orf7b
LCLAT1	orf7b	LCLAT1	orf7b
CASC4	orf7b	CASC4	orf7b
LETMD1	orf7b	LETMD1	orf7b
DPY19L2	orf7b	DPY19L2	orf7b
TMEM214	orf7b	TMEM214	orf7b
RHBDD2	orf7b	RHBDD2	orf7b
MFSD5	orf7b	MFSD5	orf7b
LPCAT4	orf7b	LPCAT4	orf7b
MICOS13	orf7b	MICOS13	orf7b
TMEM164	orf7b	TMEM164	orf7b
OCIAD2	orf7b	OCIAD2	orf7b
TMEM177	orf7b	TMEM177	orf7b
SLC25A52	orf7b	SLC25A52	orf7b
ITPRIPL2	orf7b	ITPRIPL2	orf7b
CYP1B1	orf7b	CYP1B1	orf7b
SYPL1	orf7b	SYPL1	orf7b
EXT1	orf7b	EXT1	orf7b
TMED2	orf7b	TMED2	orf7b
LAPTM4A	orf7b	LAPTM4A	orf7b
MFSD10	orf7b	MFSD10	orf7b
SQLE	orf7b	SQLE	orf7b
FKBP8	orf7b	FKBP8	orf7b
CUX1	orf7b	CUX1	orf7b
MTX1	orf7b	MTX1	orf7b
TCIRG1	orf7b	TCIRG1	orf7b
STX5	orf7b	STX5	orf7b
GALNT1	orf7b	GALNT1	orf7b
CKAP4	orf7b	CKAP4	orf7b
CYP4F8	orf7b	CYP4F8	orf7b
EFNB1	orf7b	EFNB1	orf7b
SLC35A1	orf7b	SLC35A1	orf7b
SLC35A2	orf7b	SLC35A2	orf7b
DAD1	orf7b	DAD1	orf7b
TMEM258	orf7b	TMEM258	orf7b
UBE2G2	orf7b	UBE2G2	orf7b
SEC61B	orf7b	SEC61B	orf7b
SEC61G	orf7b	SEC61G	orf7b
CD81	orf7b	CD81	orf7b
ARFIP1	orf7b	ARFIP1	orf7b
BCAP31	orf7b	BCAP31	orf7b
TMED10	orf7b	TMED10	orf7b
LMAN1	orf7b	LMAN1	orf7b
STT3A	orf7b	STT3A	orf7b
CTNNA1	orf7b	CTNNA1	orf7b
CD70	orf7b	CD70	orf7b
STX2	orf7b	STX2	orf7b
CTNNA2	orf7b	CTNNA2	orf7b
FAS	orf7b	FAS	orf7b
KDELR1	orf7b	KDELR1	orf7b
GJA1	orf7b	GJA1	orf7b
AREG	orf7b	AREG	orf7b
ACP2	orf7b	ACP2	orf7b
MGST1	orf7b	MGST1	orf7b
SRPRA	orf7b	SRPRA	orf7b
FH	orf7b	FH	orf7b
ERBB2	orf7b	ERBB2	orf7b
ABHD16A	orf7b	ABHD16A	orf7b
CLDN1	orf7b	CLDN1	orf7b
CTDNEP1	orf7b	CTDNEP1	orf7b
GOSR1	orf7b	GOSR1	orf7b
ZFPL1	orf7b	ZFPL1	orf7b
TNFSF15	orf7b	TNFSF15	orf7b
B3GAT3	orf7b	B3GAT3	orf7b
C1QL1	orf7b	C1QL1	orf7b
ZMPSTE24	orf7b	ZMPSTE24	orf7b
VAMP4	orf7b	VAMP4	orf7b
PRAF2	orf7b	PRAF2	orf7b
TIMM17B	orf7b	TIMM17B	orf7b
PEX10	orf7b	PEX10	orf7b
BNIP3L	orf7b	BNIP3L	orf7b
EXTL3	orf7b	EXTL3	orf7b
B4GAT1	orf7b	B4GAT1	orf7b
TM9SF1	orf7b	TM9SF1	orf7b
SPTLC2	orf7b	SPTLC2	orf7b
BET1	orf7b	BET1	orf7b
SCAMP2	orf7b	SCAMP2	orf7b
SCAMP1	orf7b	SCAMP1	orf7b
DEGS1	orf7b	DEGS1	orf7b
SCAMP3	orf7b	SCAMP3	orf7b
PTGES	orf7b	PTGES	orf7b
STX16	orf7b	STX16	orf7b
GOSR2	orf7b	GOSR2	orf7b
GOLIM4	orf7b	GOLIM4	orf7b
QSOX1	orf7b	QSOX1	orf7b
SMIM1	orf7b	SMIM1	orf7b
C15orf61	orf7b	C15orf61	orf7b
TMEM221	orf7b	TMEM221	orf7b
ELOVL7	orf7b	ELOVL7	orf7b
TMEM223	orf7b	TMEM223	orf7b
SPNS1	orf7b	SPNS1	orf7b
ABCB10	orf7b	ABCB10	orf7b
OPA3	orf7b	OPA3	orf7b
CYP2S1	orf7b	CYP2S1	orf7b
C16orf58	orf7b	C16orf58	orf7b
PTPMT1	orf7b	PTPMT1	orf7b
