viral_protein	human_protein
cov-miR-3	MAP3K2
cov-miR-3	LEPROT
cov-miR-3	RECK
cov-miR-3	SH3PXD2A
cov-miR-3	RBM20
cov-miR-3	LMBR1
cov-miR-3	BEND4
cov-miR-3	ACADSB
cov-miR-3	PIK3CB
cov-miR-3	ZNF585A
cov-miR-3	VAPA
cov-miR-3	SEMA6D
cov-miR-3	SLC9A6
cov-miR-3	TMEM230
cov-miR-3	TTC8
cov-miR-3	RAD51AP1
cov-miR-3	IDS
cov-miR-3	PTPLAD1
cov-miR-3	C10orf35
cov-miR-3	PAG1
cov-miR-3	GK5
cov-miR-3	CHMP1B
cov-miR-3	HELZ
cov-miR-3	PRICKLE2
cov-miR-3	WISP1
cov-miR-3	AEBP2
cov-miR-3	DGKB
cov-miR-3	TRAF3IP1
cov-miR-3	CREM
cov-miR-3	DMRT1
cov-miR-3	WARS2
cov-miR-3	RAB27B
cov-miR-3	IMPAD1
cov-miR-3	RALGPS1
cov-miR-3	ZNF585B
cov-miR-3	MME
cov-miR-3	PPAT
cov-miR-3	STMND1
cov-miR-3	CYSLTR1
cov-miR-3	SNX1
cov-miR-3	TMEM56
cov-miR-3	HDAC2
cov-miR-4	PASK
cov-miR-4	MTSS1L
cov-miR-4	RCAN1
cov-miR-4	KIAA0895
cov-miR-4	RAD51AP1
cov-miR-4	ATP5G3
cov-miR-4	CCDC50
cov-miR-4	ENAH
cov-miR-4	LRRC58
cov-miR-4	FAIM3
cov-miR-4	TFDP2
cov-miR-4	PIK3C2G
cov-miR-4	TTC8
cov-miR-4	C15orf38-AP3S2
cov-miR-4	CRYBG3
cov-miR-4	PPP6C
cov-miR-4	CEP97
cov-miR-4	ZNF540
cov-miR-4	KLHL13
cov-miR-4	CXCL5
cov-miR-4	FAM196A
cov-miR-4	EOGT
cov-miR-4	SVIP
cov-miR-4	SLC22A15
cov-miR-4	SLC30A7
cov-miR-4	MAP3K2
cov-miR-4	ZNRF2
cov-miR-4	UBXN4
cov-miR-4	MRAS
cov-miR-4	CEP350
cov-miR-4	NOTCH2NL
cov-miR-4	MEX3A
cov-miR-4	LRRC27
cov-miR-4	KIAA2022
cov-miR-4	LRPAP1
cov-miR-4	ACADM
cov-miR-4	SLC10A2
cov-miR-4	NAMPT
cov-miR-4	ACTRT2
cov-miR-4	SLC30A10
cov-miR-4	MMGT1
cov-miR-4	NSMF
cov-miR-4	EXD2
cov-miR-4	MSTN
cov-miR-4	SASS6
cov-miR-4	APOLD1
cov-miR-4	TCF4
cov-miR-4	TMEM235
cov-miR-4	SSR3
cov-miR-4	CXorf23
cov-miR-4	ZNF606
cov-miR-4	CSDE1
cov-miR-4	C18orf54
cov-miR-4	C5orf63
cov-miR-4	C14orf37
cov-miR-4	SEPT10
cov-miR-4	TMEM47
cov-miR-4	ERI1
cov-miR-4	WISP1
cov-miR-4	ZCCHC14
cov-miR-4	ZNF84
cov-miR-4	BCL2
cov-miR-4	SPTLC2
cov-miR-4	PLEKHA8
