Gene	mean_expression	Log2_mean_expression	zscore
RPL22L1	133.663705	7.073217253103919	0.2833514469568456
RPL23	1180.9135	10.206908738377612	1.7593668381565988
RPL23A	1937.9585	10.921066210084659	2.0957456504722085
RPL23AP32	0.604515	0.682137276889561	-2.7269424685774233
RPL23AP53	17.844175	4.2360467299287725	-1.0529981520206755
RPL23AP64	1.2090305	1.1434133380661968	-2.5096745693319913
RPL23AP7	3.731503	2.242298540057227	-1.9920832624268228
RPL23AP82	8.6720365	3.2738196889904314	-1.5062214284433517
RPL23P8	4.336018	2.4157635331767215	-1.9103786655059256
RPL24	912.6193499999999	9.835449396357063	1.5844039521788884
RPL26	1704.671	10.73612368252471	2.0086349637793135
RPL26L1	74.39928	6.236478841917258	-0.11076481468646437
RPL27	1212.2275	10.244634389405105	1.777136182018714
RPL27A	4235.059	12.048506968046786	2.626787049805325
RPL28	2181.6985	11.09189714673829	2.1762095675421453
RPL29	2008.1974999999998	10.972403669672062	2.11992635902383
RPL3	1781.2575000000002	10.799490076704341	2.0384814797919764
RPL30	5979.897	12.546146157112904	2.8611825242090867
RPL31	1208.6555	10.240380522900107	1.775132547499173
RPL31P11	0.604515	0.682137276889561	-2.7269424685774233
RPL32	1478.8245	10.531210374034682	1.912117741642327
RPL32P3	6.149564	2.837855265077465	-1.7115671693163945
RPL34	2824.919	11.464504398609572	2.351713136166936
RPL35	3099.121	11.598108810707789	2.414642805381626
RPL35A	1315.578	10.362577280318547	1.8326890413505665
RPL36	1491.3319999999999	10.543352813198082	1.9178370114479568
RPL36A	119.78184999999999	6.9162598656106535	0.20942217829996979
RPL36A-HNRNPH2	63.43555	6.009784958040887	-0.21754101242794316
RPL36AL	1035.1158500000001	10.01696960706516	1.6699026766315201
RPL37	3693.0015000000003	11.850968736808678	2.5337435989653145
RPL37A	3502.7285	11.774675271108284	2.49780823961327
RPL38	2281.5095	11.156405149504385	2.2065937982125097
RPL39	2114.3175	11.046658506540492	2.1549014938141835
RPL39L	11.298920500000001	3.6204597878793434	-1.3429487758636574
RPL4	2930.786	11.517564085266727	2.376705039334889
RPL41	22711.93	14.471226207294267	3.767923917454796
RPL5	3348.5330000000004	11.709744250217856	2.4672247611020746
RPL6	2045.007	10.998595365643672	2.1322630381632397
RPL7	2125.567	11.054310594149639	2.158505741117719
RPL7A	1575.1399999999999	10.622179971953319	1.9549657779886471
RPL7L1	52.65869	5.745739928584318	-0.34191015638457906
RPL8	2248.4815	11.135376786734412	2.1966891259606074
RPL9	3523.8095	11.78332957314319	2.501884544847414
RPLP0	1131.882	10.145781883790121	1.7305751786678585
RPLP0P2	2.418061	1.7731781441211938	-2.2130459602486314
RPLP1	3719.2985	11.861202665993448	2.538563932128344
RPLP2	2857.964	11.481276738367207	2.3596131581522015
RPN1	757.6492499999999	9.567289221338873	1.4580965133344106
RPN2	867.8851999999999	9.763021765742552	1.550289458765121
RPP14	137.43915	7.113108178441074	0.30214066728805467
RPP21	1.2090305	1.1434133380661968	-2.5096745693319913
RPP25	27.9121125	4.853602119888053	-0.7621203598762288
RPP25L	106.564975	6.749064577895139	0.13067070606223055
RPP30	86.84672	6.4569165151213	-0.006935385408422214
RPP38	159.07535000000001	7.322607354151403	0.4008179012293212
RPP40	11.69461	3.6661441685093576	-1.3214307517492192
RPPH1	3.022576	2.008119678571424	-2.1023849961715184
RPRD1A	179.59025	7.496576194130824	0.4827598175301105
RPRD1B	149.73825	7.2359017386503215	0.35997826414811485
RPRD2	106.564975	6.749064577895139	0.13067070606223055
RPS10	180.1948	7.501397742720355	0.4850308387716746
RPS10-NUDT3	22.78471	4.571962529937049	-0.8947768040387791
RPS10P7	0.604515	0.682137276889561	-2.7269424685774233
RPS11	3712.319	11.858493542744437	2.537287894703796
RPS12	6613.7915	12.691479967748556	2.9296369149390014
RPS13	3509.0315	11.777268262397016	2.4990295771538036
RPS14	1353.2445	10.403272516258324	1.851857103962311
RPS14P3	70.98101500000001	6.169544540650173	-0.14229186811010083
RPS15	1841.538	10.847478658037373	2.061084816777209
RPS15A	2446.46	11.25706956603418	2.254008238607284
RPS15AP10	11.799021499999998	3.677961613623707	-1.3158645589841025
RPS16	3274.4525	11.677478511742953	2.4520271174217094
RPS17	1842.4675	10.84820626686429	2.0614275313782953
RPS18	344.5019	8.43254983414525	0.9236173508612483
RPS18P9	4.2316065	2.3872540313084523	-1.9238070657650943
RPS19	3072.7484999999997	11.5857834104434	2.4088373581707474
