"source_genesymbol" "target_genesymbol" "from" "to" "consensus_stimulation" "consensus_inhibition"
"133" "AR" "PRPS1" "P10275" "B7ZB02" 1 0
"134" "AR" "PTGS2" "P10275" "P35354" 0 1
"135" "AR" "PTPN9" "P10275" "P43378" 1 0
"136" "AR" "PTPRM" "P10275" "P28827" 1 0
"137" "AR" "RBMX" "P10275" "P38159" 1 0
"138" "AR" "RBPMS" "P10275" "Q93062" 1 0
"139" "AR" "RELA" "P10275" "Q04206" 0 1
"140" "AR" "RNASE4" "P10275" "P34096" 1 0
"141" "AR" "SCAP" "P10275" "B7Z6H0" 1 0
"142" "AR" "SCNN1A" "P10275" "P37088" 1 0
"143" "AR" "SDF2" "P10275" "Q6IBU4" 1 0
"144" "AR" "SERPINB5" "P10275" "A0A024R2B6" 0 1
"145" "AR" "SERPINI1" "P10275" "A0A0S2Z455" 1 0
"146" "AR" "SLC25A11" "P10275" "Q6IBH0" 1 0
"147" "AR" "SMARCA2" "P10275" "B4DSC8" 1 0
"148" "AR" "SMS" "P10275" "P52788" 1 0
"149" "AR" "SNAI2" "P10275" "O43623" 1 0
"150" "AR" "SORD" "P10275" "Q00796" 1 0
"151" "AR" "SOX4" "P10275" "Q06945" 1 0
"152" "AR" "SPDEF" "P10275" "O95238" 1 0
"153" "AR" "STK39" "P10275" "Q9UEW8" 1 0
"154" "AR" "STXBP2" "P10275" "Q15833" 1 0
"155" "AR" "SUOX" "P10275" "A0A024RB79" 1 0
"156" "AR" "TESK1" "P10275" "Q15569" 1 0
"157" "AR" "THRA" "P10275" "P10827" 1 0
"158" "AR" "TMPRSS2" "P10275" "O15393" 1 0
"159" "AR" "TNFRSF1A" "P10275" "P19438" 1 0
"160" "AR" "TRPS1" "P10275" "Q9UHF7" 1 0
"161" "AR" "UBC" "P10275" "P0CG48" 1 0
"162" "AR" "UBE2D3" "P10275" "D6RAH7" 1 0
"163" "AR" "UGT2B15" "P10275" "P54855" 1 0
"164" "AR" "VAPA" "P10275" "Q9P0L0" 1 0
"165" "AR" "VEGFA" "P10275" "A0A087WUD8" 1 0
"166" "AR" "XPA" "P10275" "P23025" 1 0
"167" "AR" "ZBTB16" "P10275" "A0A024R3C6" 1 0
"168" "AR" "ZCCHC9" "P10275" "A0A024RAL5" 1 0
"169" "AR" "ZFHX4" "P10275" "Q86UP3" 1 0
"170" "AR" "ZNF559" "P10275" "A0A0A0MTT2" 1 0
"171" "ARID1A" "CDKN1A" "O14497" "A0A024RCX5" 1 0
"172" "ARID1A" "SMAD3" "O14497" "P84022" 1 0
"173" "ARID1A" "ANKRD11" "O14497" "Q6UB99" 1 0
"174" "ARID1A" "ARID1B" "O14497" "Q8NFD5" 1 0
"175" "ARID1A" "BCL9L" "O14497" "Q86UU0" 1 0
"176" "ARID1A" "CHD8" "O14497" "Q9HCK8" 1 0
"177" "ARID1A" "HIVEP1" "O14497" "P15822" 1 0
"178" "ARID1A" "KDM2A" "O14497" "Q9Y2K7" 1 0
"179" "ARID1A" "LARP1" "O14497" "Q6PKG0" 1 0
"180" "ARID1A" "MTMR12" "O14497" "Q9C0I1" 1 0
"181" "ARID1A" "MTMR4" "O14497" "Q9NYA4" 1 0
"182" "ARID1A" "PHF12" "O14497" "Q96QT6" 1 0
"183" "ARID1A" "PTCH1" "O14497" "Q13635" 1 0
"184" "ARID1A" "RERE" "O14497" "A0A024R4E9" 1 0
"185" "ARID1A" "SIN3A" "O14497" "Q96ST3" 1 0
"186" "ARID1A" "SMARCA2" "O14497" "B4DSC8" 1 0
"187" "ARID1A" "TBC1D14" "O14497" "Q9P2M4" 1 0
"188" "ARID1A" "TMEM127" "O14497" "O75204" 1 0
"189" "ARID1A" "TNRC18" "O14497" "A3KMH2" 1 0
"190" "ARID1A" "TRIP12" "O14497" "Q14669" 1 0
"191" "ARID1A" "TSN" "O14497" "B3KRM8" 1 0
"192" "ARID1A" "WDR82" "O14497" "A0A024R333" 1 0
"193" "ARID1B" "ARID2" "Q8NFD5" "Q68CP9" 1 0
"194" "ARID1B" "BIRC6" "Q8NFD5" "Q9NR09" 1 0
"195" "ARID1B" "CHD6" "Q8NFD5" "Q8TD26" 1 0
"196" "ARID1B" "DCAF5" "Q8NFD5" "Q96JK2" 1 0
"197" "ARID1B" "FOXN3" "Q8NFD5" "A0A024R6I1" 1 0
"198" "ARID1B" "FOXO3" "Q8NFD5" "O43524" 1 0
"199" "ARID1B" "HIVEP2" "Q8NFD5" "P31629" 1 0
"200" "ARID1B" "MGA" "Q8NFD5" "B9EGR5" 1 0
"201" "ARID1B" "MLLT10" "Q8NFD5" "P55197" 1 0
"202" "ARID1B" "NCOA2" "Q8NFD5" "Q15596" 1 0
"203" "ARID1B" "NCOA6" "Q8NFD5" "F6M2K2" 1 0
"204" "ARID1B" "NFATC3" "Q8NFD5" "B5B2S0" 1 0
"205" "ARID1B" "NFIA" "Q8NFD5" "Q12857" 1 0
"206" "ARID1B" "PLEKHM3" "Q8NFD5" "Q6ZWE6" 1 0
"207" "ARID1B" "PUM1" "Q8NFD5" "Q14671" 1 0
"208" "ARID1B" "RALGAPA1" "Q8NFD5" "Q6GYQ0" 1 0
"209" "ARID1B" "RANBP9" "Q8NFD5" "A0A024QZW3" 1 0
"210" "ARID1B" "SPTBN1" "Q8NFD5" "B2ZZ89" 1 0
"211" "ARID1B" "UTRN" "Q8NFD5" "P46939" 1 0
"212" "ARID2" "AGTPBP1" "Q68CP9" "J3KNS1" 1 0
"213" "ARID2" "ATXN7" "Q68CP9" "O15265" 1 0
"214" "ARID2" "BAZ2A" "Q68CP9" "F8VU39" 1 0
"215" "ARID2" "BBX" "Q68CP9" "A8K6U2" 1 0
"216" "ARID2" "CACUL1" "Q68CP9" "Q86Y37" 1 0
"217" "ARID2" "CDK17" "Q68CP9" "Q00537" 1 0
"218" "ARID2" "CHD2" "Q68CP9" "O14647" 1 0
"219" "ARID2" "CHD9" "Q68CP9" "Q3L8U1" 1 0
"220" "ARID2" "CPSF6" "Q68CP9" "Q16630" 1 0
"221" "ARID2" "FOXJ3" "Q68CP9" "Q9UPW0" 1 0
"222" "ARID2" "HNRNPH1" "Q68CP9" "P31943" 1 0
"223" "ARID2" "HNRNPL" "Q68CP9" "P14866" 1 0
"224" "ARID2" "JMJD1C" "Q68CP9" "B7ZLC8" 1 0
"225" "ARID2" "LRP6" "Q68CP9" "O75581" 1 0
"226" "ARID2" "MAP4K5" "Q68CP9" "B3KWC4" 1 0
"227" "ARID2" "MLLT10" "Q68CP9" "P55197" 1 0
"228" "ARID2" "MSI2" "Q68CP9" "B4DHE8" 1 0
"229" "ARID2" "NCOA2" "Q68CP9" "Q15596" 1 0
"230" "ARID2" "NFAT5" "Q68CP9" "O94916" 1 0
"231" "ARID2" "PAWR" "Q68CP9" "Q96IZ0" 1 0
"232" "ARID2" "RBPJ" "Q68CP9" "Q06330" 1 0
"233" "ARID2" "RCOR3" "Q68CP9" "Q9P2K3" 1 0
"234" "ARID2" "SIAH1" "Q68CP9" "Q8IUQ4" 1 0
"235" "ARID2" "SOS1" "Q68CP9" "Q07889" 1 0
"236" "ARID2" "TIAL1" "Q68CP9" "Q01085" 1 0
"237" "ARID2" "TNPO1" "Q68CP9" "A0A024RAM0" 1 0
"238" "ARID2" "USP3" "Q68CP9" "Q9Y6I4" 1 0
"239" "ARID2" "WAC" "Q68CP9" "Q9BTA9" 1 0
"240" "ARID2" "ZCCHC2" "Q68CP9" "Q9BRD4" 1 0
"241" "ARID2" "ZNF131" "Q68CP9" "P52739" 1 0
"242" "ARID3A" "ACKR2" "Q99856" "A0A024R2X7" 1 0
"243" "ARID3A" "BAZ2A" "Q99856" "F8VU39" 1 0
"244" "ARID3A" "BCAT1" "Q99856" "P54687" 1 0
"245" "ARID3A" "CCR7" "Q99856" "P32248" 1 0
"246" "ARID3A" "CIC" "Q99856" "Q96RK0" 1 0
"247" "ARID3A" "CYTH1" "Q99856" "Q15438" 1 0
"248" "ARID3A" "DDIT4" "Q99856" "A0A024QZQ6" 1 0
"249" "ARID3A" "DENND3" "Q99856" "A2RUS2" 1 0
"250" "ARID3A" "ERN1" "Q99856" "O75460" 1 0
"251" "ARID3A" "FOXK1" "Q99856" "P85037" 1 0
"252" "ARID3A" "GAB2" "Q99856" "Q9UQC2" 1 0
"253" "ARID3A" "GRK6" "Q99856" "P43250" 1 0
"254" "ARID3A" "KCNAB2" "Q99856" "A0A024R4E3" 1 0
"255" "ARID3A" "MKNK2" "Q99856" "Q9HBH9" 1 0
"256" "ARID3A" "MNT" "Q99856" "Q99583" 1 0
"257" "ARID3A" "PLIN2" "Q99856" "Q6FHZ7" 1 0
"258" "ARID3A" "PTK2B" "Q99856" "Q14289" 1 0
"259" "ARID3A" "SEC14L1" "Q99856" "A5PLM6" 1 0
"260" "ARID3A" "ST3GAL1" "Q99856" "A0A024R9L6" 1 0
"261" "ARID3A" "STK10" "Q99856" "O94804" 1 0
"262" "ARID3A" "TGIF1" "Q99856" "Q15583" 1 0
"263" "ARID3A" "ZBTB7B" "Q99856" "O15156" 1 0
"264" "ARID3A" "ZC3H3" "Q99856" "Q8IXZ2" 1 0
"265" "ARNT" "CYP1B1" "A8K6P0" "Q16678" 1 0
"266" "ARNT" "EPO" "A8K6P0" "G9JKG7" 1 0
"267" "ARNT" "LDHA" "A8K6P0" "P00338" 1 0
"268" "ARNT" "UGT1A6" "A8K6P0" "P19224" 1 0
"269" "ARNT" "VEGFA" "A8K6P0" "A0A087WUD8" 1 0
"270" "ARNT" "ANGPT1" "A8K6P0" "Q15389" 1 0
"271" "ARNT" "ESR1" "A8K6P0" "G4XH65" 1 0
"272" "ARNT" "AFF1" "A8K6P0" "P51825" 1 0
"273" "ARNT" "ALDOA" "A8K6P0" "P04075" 1 0
"274" "ARNT" "ANK3" "A8K6P0" "Q12955" 1 0
"275" "ARNT" "ARID1B" "A8K6P0" "Q8NFD5" 1 0
"276" "ARNT" "ARID5B" "A8K6P0" "Q14865" 1 0
"277" "ARNT" "ASAP1" "A8K6P0" "A0A0A0MRE5" 1 0
"278" "ARNT" "CDH4" "A8K6P0" "P55283" 1 0
"279" "ARNT" "CTNNA2" "A8K6P0" "P26232" 1 0
"280" "ARNT" "DAAM1" "A8K6P0" "Q9Y4D1" 1 0
"281" "ARNT" "DOCK1" "A8K6P0" "B2RUU3" 1 0
"282" "ARNT" "DOCK4" "A8K6P0" "Q8N1I0" 1 0
"283" "ARNT" "DST" "A8K6P0" "B4DSS9" 1 0
"284" "ARNT" "DYNC2H1" "A8K6P0" "Q8NCM8" 1 0
"285" "ARNT" "EIF3H" "A8K6P0" "O15372" 1 0
"286" "ARNT" "ENO1" "A8K6P0" "P06733" 1 0
"287" "ARNT" "ERC1" "A8K6P0" "G8JLD3" 1 0
"288" "ARNT" "EXOC6B" "A8K6P0" "A0A0U1RRB6" 1 0
"289" "ARNT" "FNDC3B" "A8K6P0" "Q53EP0" 1 0
"290" "ARNT" "GLI3" "A8K6P0" "P10071" 1 0
"291" "ARNT" "GTDC1" "A8K6P0" "Q4AE62" 1 0
"292" "ARNT" "IQSEC1" "A8K6P0" "A0A087WWK8" 1 0
"293" "ARNT" "LPP" "A8K6P0" "B7ZLW0" 1 0
"294" "ARNT" "MACROD2" "A8K6P0" "A1Z1Q3" 1 0
"295" "ARNT" "MED13L" "A8K6P0" "Q71F56" 1 0
"296" "ARNT" "MID1" "A8K6P0" "A0A024RBV4" 1 0
"297" "ARNT" "NBEA" "A8K6P0" "Q8NFP9" 1 0
"298" "ARNT" "NFASC" "A8K6P0" "O94856" 1 0
"299" "ARNT" "NFIA" "A8K6P0" "Q12857" 1 0
"300" "ARNT" "NLGN1" "A8K6P0" "Q8N2Q7" 1 0
"301" "ARNT" "PIP4K2A" "A8K6P0" "P48426" 1 0
"302" "ARNT" "PTK2" "A8K6P0" "Q05397" 1 0
"303" "ARNT" "PTPRD" "A8K6P0" "Q59H90" 1 0
"304" "ARNT" "PTPRR" "A8K6P0" "Q15256" 1 0
"305" "ARNT" "RBMS1" "A8K6P0" "A0A0S2Z499" 1 0
"306" "ARNT" "RBMS3" "A8K6P0" "Q6XE24" 1 0
"307" "ARNT" "RBPJ" "A8K6P0" "Q06330" 1 0
"308" "ARNT" "RREB1" "A8K6P0" "A0A024QZU8" 1 0
"309" "ARNT" "SLC22A23" "A8K6P0" "A1A5C7" 1 0
