ligand	ligand_cell_source	receptor_cat	receptor_cat_sh	receptor_cat_count	mean_num_imm_cells	num_receptors_targeted	receptors_in_group	sum_incoming_receptors	log_sum_incoming_receptors
SEMA5A	ciliated_cells	METs	METs	1	1	1	MET	2	0.693147180559945
SLPI	ciliated_cells	CDs	CDs	7	6	1	CD247,CD33,CD3D,CD3G,CD4,CD5,CD74	17	2.83321334405622
SLPI	ciliated_cells	PLs	PLs	4	4.5	2	PLA2R1,PLD2,PLSCR1,PLSCR4	5	1.6094379124341
TFF1	ciliated_cells	Fs	Fs	3	1	1	F3,FCGR2A,FCRL4	4	1.38629436111989
TFF1	ciliated_cells	ITGs	ITGs	17	9	1	ITGA1,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA9,ITGAM,ITGAV,ITGB1,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8	25	3.2188758248682
TNC	ciliated_cells	ITGs	ITGs	17	3.25	16	ITGA1,ITGA2,ITGA2B,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA9,ITGAM,ITGAV,ITGB1,ITGB4,ITGB5,ITGB6,ITGB7,ITGB8	25	3.2188758248682
TNC	ciliated_cells	NTs	NTs	1	4	1	NT5E	1	0
TNC	ciliated_cells	SDs	SDs	2	1	2	SDC1,SDC3	4	1.38629436111989
ZG16B	ciliated_cells	CXCRs	CXCRs	6	7	1	CX3CR1,CXCR2,CXCR3,CXCR4,CXCR5,CXCR6	21	3.04452243772342
ZG16B	ciliated_cells	TLRs	TLRs	5	2.25	4	TLR2,TLR3,TLR4,TLR5,TLR6	9	2.19722457733622
