ligand	ligand_lfc	receptor	receptor_expression	ligand_cell_source	receptor_cell_target
TNC	-0.59386	ITGA4	6.564260236306796	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	ITGA5	6.430799020901068	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	ITGB1	8.438826842486826	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	ITGB5	2.953818215625575	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	ITGB7	1.623875783317584	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	ITGB8	5.621479121132714	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	SDC3	2.549612390346847	ciliated_cells	Nonresident_macrophage
TNC	-0.59386	ITGAV	6.946267769950109	ciliated_cells	Nonresident_macrophage
SEMA5A	-0.51959	MET	2.3905228414179875	ciliated_cells	Nonresident_macrophage
SLPI	0.50459	CD4	7.501040851033112	ciliated_cells	Nonresident_macrophage
SLPI	0.50459	PLSCR1	9.04182072755795	ciliated_cells	Nonresident_macrophage
HLA-A	0.52596	APLP2	9.11924664806077	ciliated_cells	Nonresident_macrophage
HLA-A	0.52596	LILRB2	7.782691326681183	ciliated_cells	Nonresident_macrophage
HLA-A	0.52596	IL2RG	4.217484617713613	ciliated_cells	Nonresident_macrophage
HLA-DMA	0.53127	CD74	12.299752498709458	ciliated_cells	Nonresident_macrophage
HLA-DMA	0.53127	CD4	7.501040851033112	ciliated_cells	Nonresident_macrophage
S100A8	0.55011	TLR4	5.790561474210465	ciliated_cells	Nonresident_macrophage
HLA-F	0.55971	LILRB2	7.782691326681183	ciliated_cells	Nonresident_macrophage
B2M	0.60196	LILRB2	7.782691326681183	ciliated_cells	Nonresident_macrophage
B2M	0.60196	IL2RG	4.217484617713613	ciliated_cells	Nonresident_macrophage
B2M	0.60196	PDIA3	9.088242881714729	ciliated_cells	Nonresident_macrophage
B2M	0.60196	HFE	2.4695069446499973	ciliated_cells	Nonresident_macrophage
HLA-B	0.6193	LILRB2	7.782691326681183	ciliated_cells	Nonresident_macrophage
HLA-B	0.6193	CANX	7.767358127865632	ciliated_cells	Nonresident_macrophage
DEFB4A	0.63518	TLR4	5.790561474210465	ciliated_cells	Nonresident_macrophage
ANXA1	0.69597	DYSF	3.245943898859922	ciliated_cells	Nonresident_macrophage
ANXA1	0.69597	FPR3	5.531366435585134	ciliated_cells	Nonresident_macrophage
HLA-DRB5	0.7059	CD4	7.501040851033112	ciliated_cells	Nonresident_macrophage
HLA-C	0.7672399999999999	LILRB2	7.782691326681183	ciliated_cells	Nonresident_macrophage
HLA-C	0.7672399999999999	LILRA3	4.182129774626513	ciliated_cells	Nonresident_macrophage
HLA-DRB1	0.78059	CD4	7.501040851033112	ciliated_cells	Nonresident_macrophage
CXCL17	0.80612	GPR35	2.8579655261510277	ciliated_cells	Nonresident_macrophage
MIF	0.81587	CD74	12.299752498709458	ciliated_cells	Nonresident_macrophage
MIF	0.81587	CXCR2	3.177603815938783	ciliated_cells	Nonresident_macrophage
MIF	0.81587	TNFRSF10D	4.0971188475283356	ciliated_cells	Nonresident_macrophage
MIF	0.81587	CXCR4	8.16503233978429	ciliated_cells	Nonresident_macrophage
MDK	0.8494299999999999	ITGB1	8.438826842486826	ciliated_cells	Nonresident_macrophage
MDK	0.8494299999999999	LRP1	7.50639542620368	ciliated_cells	Nonresident_macrophage
MDK	0.8494299999999999	SDC3	2.549612390346847	ciliated_cells	Nonresident_macrophage
MDK	0.8494299999999999	ITGA4	6.564260236306796	ciliated_cells	Nonresident_macrophage
MDK	0.8494299999999999	TSPAN1	1.7042661530723042	ciliated_cells	Nonresident_macrophage
ZG16B	0.87036	TLR2	7.023764381067091	ciliated_cells	Nonresident_macrophage
ZG16B	0.87036	TLR5	4.946232664381711	ciliated_cells	Nonresident_macrophage
ZG16B	0.87036	TLR6	3.4515137170447305	ciliated_cells	Nonresident_macrophage
ZG16B	0.87036	TLR4	5.790561474210465	ciliated_cells	Nonresident_macrophage
ZG16B	0.87036	CXCR4	8.16503233978429	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CX3CR1	5.0411683626317245	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CCR1	7.049244355809698	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CCR2	3.0651546954713766	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CCR7	2.257378394207178	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CXCR2	3.177603815938783	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CXCR5	1.7042661530723042	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CXCR4	8.16503233978429	ciliated_cells	Nonresident_macrophage
CXCL3	0.90676	CCR5	4.905219661341826	ciliated_cells	Nonresident_macrophage
MUC2	0.9711200000000001	AGR2	5.554387123642813	ciliated_cells	Nonresident_macrophage
TFF1	1.06891	ITGB1	8.438826842486826	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CX3CR1	5.0411683626317245	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CCR1	7.049244355809698	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CCR2	3.0651546954713766	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CXCR4	8.16503233978429	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CXCR2	3.177603815938783	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CCR5	4.905219661341826	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CXCR5	1.7042661530723042	ciliated_cells	Nonresident_macrophage
CXCL6	1.1442700000000001	CCR7	2.257378394207178	ciliated_cells	Nonresident_macrophage
PI3	1.15747	PLD2	3.6346644424098162	ciliated_cells	Nonresident_macrophage
LCN2	1.63619	NR3C1	6.331503152436945	ciliated_cells	Nonresident_macrophage
LCN2	1.63619	PKD1	2.4695069446499973	ciliated_cells	Nonresident_macrophage
SAA1	1.71155	TLR2	7.023764381067091	ciliated_cells	Nonresident_macrophage
SAA1	1.71155	F3	2.8579655261510277	ciliated_cells	Nonresident_macrophage
S100A4	1.72412	AKT1	5.472060541778494	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CX3CR1	5.0411683626317245	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CCR1	7.049244355809698	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CCR2	3.0651546954713766	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CXCR4	8.16503233978429	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CXCR2	3.177603815938783	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CXCR5	1.7042661530723042	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CCR7	2.257378394207178	ciliated_cells	Nonresident_macrophage
CXCL1	1.8271400000000002	CCR5	4.905219661341826	ciliated_cells	Nonresident_macrophage
HSPA1A	-1.59207	NR3C1	3.4998771099588883	ciliated_cells	Resident_macrophage
HSPA1A	-1.59207	NOD2	3.2263146243658576	ciliated_cells	Resident_macrophage
HSPA1A	-1.59207	ENPP1	1.5626711812214837	ciliated_cells	Resident_macrophage
EGFR	-0.85146	CD33	3.085157924075363	ciliated_cells	Resident_macrophage
EGFR	-0.85146	IL6ST	4.156583786183318	ciliated_cells	Resident_macrophage
EGFR	-0.85146	RIPK1	6.794558843342305	ciliated_cells	Resident_macrophage
EGFR	-0.85146	CD5	1.6483900886873977	ciliated_cells	Resident_macrophage
EGFR	-0.85146	AXL	2.4894213268385488	ciliated_cells	Resident_macrophage
EGFR	-0.85146	TLR3	3.7060991326976884	ciliated_cells	Resident_macrophage
EGFR	-0.85146	AKT1	3.9122628191747717	ciliated_cells	Resident_macrophage
EGFR	-0.85146	FCGR2A	5.641962142151052	ciliated_cells	Resident_macrophage
EGFR	-0.85146	IFNAR2	4.726162630399413	ciliated_cells	Resident_macrophage
EGFR	-0.85146	EZR	4.83495337734941	ciliated_cells	Resident_macrophage
EGFR	-0.85146	PTPRE	7.147611233032419	ciliated_cells	Resident_macrophage
PLAT	-0.60197	LRP1	3.2263146243658576	ciliated_cells	Resident_macrophage
PLAT	-0.60197	ITGAM	5.584373208002427	ciliated_cells	Resident_macrophage
LYPD3	-0.60158	AGR2	6.817415620345337	ciliated_cells	Resident_macrophage
TNC	-0.59386	ITGA4	3.2263146243658576	ciliated_cells	Resident_macrophage
TNC	-0.59386	NT5E	4.992571134476706	ciliated_cells	Resident_macrophage
TNC	-0.59386	ITGB1	5.286724366889974	ciliated_cells	Resident_macrophage
TNC	-0.59386	ITGB7	2.245865392613531	ciliated_cells	Resident_macrophage
SLPI	0.50459	CD4	5.522418911009191	ciliated_cells	Resident_macrophage
SLPI	0.50459	PLSCR1	7.248923612360412	ciliated_cells	Resident_macrophage
HLA-A	0.52596	APLP2	4.492499267798165	ciliated_cells	Resident_macrophage
HLA-A	0.52596	LILRB2	3.1981292007932285	ciliated_cells	Resident_macrophage
HLA-A	0.52596	IL2RG	7.4932453572693705	ciliated_cells	Resident_macrophage
HLA-DMA	0.53127	CD74	13.28199998097618	ciliated_cells	Resident_macrophage
HLA-DMA	0.53127	CD4	5.522418911009191	ciliated_cells	Resident_macrophage
HLA-F	0.55971	LILRB2	3.1981292007932285	ciliated_cells	Resident_macrophage
B2M	0.60196	LILRB2	3.1981292007932285	ciliated_cells	Resident_macrophage
B2M	0.60196	IL2RG	7.4932453572693705	ciliated_cells	Resident_macrophage
B2M	0.60196	PDIA3	8.026789601997265	ciliated_cells	Resident_macrophage
HLA-B	0.6193	LILRB2	3.1981292007932285	ciliated_cells	Resident_macrophage
HLA-B	0.6193	CANX	7.357699481529406	ciliated_cells	Resident_macrophage
DEFB4A	0.63518	CCR6	6.166315252925824	ciliated_cells	Resident_macrophage
ANXA1	0.69597	FPR3	7.8592680152525976	ciliated_cells	Resident_macrophage
HLA-DRB5	0.7059	CD4	5.522418911009191	ciliated_cells	Resident_macrophage
DEFB1	0.71929	CCR6	6.166315252925824	ciliated_cells	Resident_macrophage
HLA-C	0.7672399999999999	LILRB2	3.1981292007932285	ciliated_cells	Resident_macrophage
HLA-DRB1	0.78059	CD4	5.522418911009191	ciliated_cells	Resident_macrophage
CXCL17	0.80612	GPR35	1.6483900886873977	ciliated_cells	Resident_macrophage
MIF	0.81587	CD74	13.28199998097618	ciliated_cells	Resident_macrophage
MIF	0.81587	CXCR2	1.5626711812214837	ciliated_cells	Resident_macrophage
MIF	0.81587	TNFRSF10D	2.4894213268385488	ciliated_cells	Resident_macrophage
MIF	0.81587	CXCR4	6.903179765651937	ciliated_cells	Resident_macrophage
MDK	0.8494299999999999	ITGB1	5.286724366889974	ciliated_cells	Resident_macrophage
MDK	0.8494299999999999	LRP1	3.2263146243658576	ciliated_cells	Resident_macrophage
MDK	0.8494299999999999	ITGA4	3.2263146243658576	ciliated_cells	Resident_macrophage
MDK	0.8494299999999999	TSPAN1	2.772220096733718	ciliated_cells	Resident_macrophage
ZG16B	0.87036	TLR2	3.9183931545868482	ciliated_cells	Resident_macrophage
ZG16B	0.87036	CXCR4	6.903179765651937	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CCR6	6.166315252925824	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CX3CR1	5.394359924951369	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CCR1	3.5816290663234485	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CXCR3	4.017521992172664	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CXCR2	1.5626711812214837	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CXCR4	6.903179765651937	ciliated_cells	Resident_macrophage
CXCL3	0.90676	CCR5	4.606991699323063	ciliated_cells	Resident_macrophage
MUC2	0.9711200000000001	AGR2	6.817415620345337	ciliated_cells	Resident_macrophage
TFF1	1.06891	ITGB1	5.286724366889974	ciliated_cells	Resident_macrophage
