source_genesymbol	target_genesymbol	from	to	consensus_stimulation	consensus_inhibition
ARID1A	HIVEP1	O14497	P15822	1	0
ARID1A	KDM2A	O14497	Q9Y2K7	1	0
ARID1A	LARP1	O14497	Q6PKG0	1	0
ARID1A	MTMR12	O14497	Q9C0I1	1	0
ARID1A	MTMR4	O14497	Q9NYA4	1	0
ARID1A	PHF12	O14497	Q96QT6	1	0
ARID1A	PTCH1	O14497	Q13635	1	0
ARID1A	RERE	O14497	A0A024R4E9	1	0
ARID1A	SIN3A	O14497	Q96ST3	1	0
ARID1A	SMARCA2	O14497	B4DSC8	1	0
ARID1A	TBC1D14	O14497	Q9P2M4	1	0
ARID1A	TMEM127	O14497	O75204	1	0
ARID1A	TNRC18	O14497	A3KMH2	1	0
ARID1A	TRIP12	O14497	Q14669	1	0
ARID1A	TSN	O14497	B3KRM8	1	0
ARID1A	WDR82	O14497	A0A024R333	1	0
ARID1B	ARID2	Q8NFD5	Q68CP9	1	0
ARID1B	BIRC6	Q8NFD5	Q9NR09	1	0
ARID1B	CHD6	Q8NFD5	Q8TD26	1	0
ARID1B	DCAF5	Q8NFD5	Q96JK2	1	0
ARID1B	FOXN3	Q8NFD5	A0A024R6I1	1	0
ARID1B	FOXO3	Q8NFD5	O43524	1	0
ARID1B	HIVEP2	Q8NFD5	P31629	1	0
ARID1B	MGA	Q8NFD5	B9EGR5	1	0
ARID1B	MLLT10	Q8NFD5	P55197	1	0
ARID1B	NCOA2	Q8NFD5	Q15596	1	0
ARID1B	NCOA6	Q8NFD5	F6M2K2	1	0
ARID1B	NFATC3	Q8NFD5	B5B2S0	1	0
ARID1B	NFIA	Q8NFD5	Q12857	1	0
ARID1B	PLEKHM3	Q8NFD5	Q6ZWE6	1	0
ARID1B	PUM1	Q8NFD5	Q14671	1	0
ARID1B	RALGAPA1	Q8NFD5	Q6GYQ0	1	0
ARID1B	RANBP9	Q8NFD5	A0A024QZW3	1	0
ARID1B	SPTBN1	Q8NFD5	B2ZZ89	1	0
ARID1B	UTRN	Q8NFD5	P46939	1	0
ARID2	AGTPBP1	Q68CP9	J3KNS1	1	0
ARID2	ATXN7	Q68CP9	O15265	1	0
