all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
protein	NA	NA	NA	SMARCB1		Q12824	Q12824	viralprotein		protein	FALSE	Q12824	NA
protein	NA	NA	NA	APAF1		O14727	O14727	viralmirna;viralprotein		protein	FALSE	O14727	NA
protein	NA	NA	NA	SMURF2		Q9HAU4	Q9HAU4	viralprotein		protein	FALSE	Q9HAU4	NA
protein	NA	NA	NA	GRK5		P34947	P34947	viralprotein		protein	FALSE	P34947	NA
protein	NA	NA	NA	BUB1		O43683	O43683	viralprotein		protein	FALSE	O43683	NA
protein	NA	NA	NA	ABL2		P42684	P42684	viralmirna;viralprotein		protein	FALSE	P42684	NA
protein	NA	NA	NA	GADD45G		O95257	O95257	viralprotein		protein	FALSE	O95257	NA
protein	NA	NA	NA	NR4A3		Q92570	Q92570	viralprotein		protein	FALSE	Q92570	NA
protein	NA	NA	NA	NCK1		P16333	P16333	viralmirna;viralprotein		protein	FALSE	P16333	NA
protein	NA	NA	NA	FER		P16591	P16591	viralmirna;viralprotein		protein	FALSE	P16591	NA
protein	NA	NA	NA	RHOC	-0.555373113	P08134	P08134	viralprotein	1.80E-10	protein	FALSE	P08134	NA
protein	NA	NA	NA	FARP2		O94887	O94887	viralprotein		protein	FALSE	O94887	NA
protein	NA	NA	NA	VAV2		P52735	P52735	viralmirna;viralprotein		protein	FALSE	P52735	NA
bindingprot;protein;tf	bindingprot	NA	NA	TBP		P20226	P20226	viralmirna;viralprotein		protein	FALSE	P20226	tf
protein	NA	NA	NA	E2F3	0.287222691	O00716	O00716	viralmirna;viralprotein	1.44E-05	protein	FALSE	O00716	NA
protein	NA	NA	NA	CAMK1D		Q8IU85	Q8IU85	viralmirna;viralprotein		protein	FALSE	Q8IU85	NA
protein	NA	NA	NA	CYTH1		Q15438	Q15438	viralprotein		protein	FALSE	Q15438	NA
protein;tf	NA	NA	NA	ATF4		P18848	P18848	viralmirna;viralprotein		protein	FALSE	P18848	tf
protein	NA	NA	NA	PIAS3		Q9Y6X2	Q9Y6X2	viralmirna;viralprotein		protein	FALSE	Q9Y6X2	NA
protein	NA	NA	NA	TADA3		O75528	O75528	viralprotein		protein	FALSE	O75528	NA
protein	NA	NA	NA	ROCK2		O75116	O75116	viralprotein		protein	FALSE	O75116	NA
protein	NA	NA	NA	P4HB	-0.34452858	P07237	P07237	viralmirna;viralprotein	9.03E-07	protein	FALSE	P07237	NA
protein	NA	NA	NA	KAT2A		Q92830	Q92830	viralmirna;viralprotein		protein	FALSE	Q92830	NA
protein	NA	NA	NA	EPHA1		P21709	P21709	viralmirna;viralprotein		protein	FALSE	P21709	NA
protein	NA	NA	NA	MYLK		Q15746	Q15746	viralmirna;viralprotein		protein	FALSE	Q15746	NA
protein	NA	NA	NA	CRK		P46108	P46108	viralmirna;viralprotein		protein	FALSE	P46108	NA
bindingprot	bindingprot	NA	NA	DAAM1		Q9Y4D1	Q9Y4D1	viralmirna		NA;protein	FALSE	Q9Y4D1	NA
protein	NA	NA	NA	CALM1	-0.757099382	P0DP24	P0DP24	viralprotein	7.63E-37	protein	FALSE	P0DP24	NA
protein	NA	NA	NA	HDAC4		P56524	P56524	viralmirna;viralprotein		protein	FALSE	P56524	NA
protein	NA	NA	NA	PPP1R13B		Q96KQ4	Q96KQ4	viralprotein		protein	FALSE	Q96KQ4	NA
protein	NA	NA	NA	HNF4A		P41235	P41235	viralmirna;viralprotein		protein	FALSE	P41235	NA
protein	NA	NA	NA	AGER		Q15109	Q15109	viralprotein		protein	FALSE	Q15109	NA
protein	NA	NA	NA	KAT7		O95251	O95251	viralmirna;viralprotein		protein	FALSE	O95251	NA
protein	NA	NA	NA	RAC3		P60763	P60763	viralprotein		protein	FALSE	P60763	NA
protein	NA	NA	NA	TAOK3	-0.354309318	Q9H2K8	Q9H2K8	viralprotein	1.43E-06	protein	FALSE	Q9H2K8	NA
protein	NA	NA	NA	ARHGAP1		Q07960	Q07960	viralmirna;viralprotein		protein	FALSE	Q07960	NA
protein	NA	NA	NA	EGLN1		Q9GZT9	Q9GZT9	viralmirna;viralprotein		protein	FALSE	Q9GZT9	NA
protein	NA	NA	NA	PTTG1		O95997	O95997	viralmirna;viralprotein		protein	FALSE	O95997	NA
protein	NA	NA	NA	CCNE2		O96020	O96020	viralmirna;viralprotein		protein	FALSE	O96020	NA
protein	NA	NA	NA	NKX3-1		Q99801	Q99801	viralprotein		protein	FALSE	Q99801	NA
bindingprot;protein	bindingprot	NA	NA	F2R		P25116	P25116	viralmirna;viralprotein		protein	FALSE	P25116	NA
protein	NA	NA	NA	PLD1		Q13393	Q13393	viralprotein		protein	FALSE	Q13393	NA
protein	NA	NA	NA	ADCY3		O60266	O60266	viralprotein		protein	FALSE	O60266	NA
protein	NA	NA	NA	ACTN2		P35609	P35609	viralprotein		protein	FALSE	P35609	NA
protein	NA	NA	NA	MMP1		P03956	P03956	viralmirna;viralprotein		protein	FALSE	P03956	NA
protein	NA	NA	NA	DOCK1		Q14185	Q14185	viralmirna;viralprotein		protein	FALSE	Q14185	NA
protein	NA	NA	NA	MAP3K14	0.332552923	Q99558	Q99558	viralmirna;viralprotein	1.14E-07	protein	FALSE	Q99558	NA
protein	NA	NA	NA	ERN1		O75460	O75460	viralprotein		protein	FALSE	O75460	NA
protein	NA	NA	NA	PIK3C2G		O75747	O75747	viralprotein		protein	FALSE	O75747	NA
protein	NA	NA	NA	NTRK2		Q16620	Q16620	viralmirna;viralprotein		protein	FALSE	Q16620	NA
protein	NA	NA	NA	BRCA1		P38398	P38398	viralmirna;viralprotein		protein	FALSE	P38398	NA
protein	NA	NA	NA	FRK		P42685	P42685	viralprotein		protein	FALSE	P42685	NA
protein	NA	NA	NA	NOLC1		Q14978	Q14978	viralmirna;viralprotein		protein	FALSE	Q14978	NA
protein	NA	NA	NA	F11R		Q9Y624	Q9Y624	viralprotein		protein	FALSE	Q9Y624	NA
protein	NA	NA	NA	HSPG2		P98160	P98160	viralprotein		protein	FALSE	P98160	NA
protein	NA	NA	NA	IQGAP1	-0.476643188	P46940	P46940	viralprotein	5.28E-09	protein	FALSE	P46940	NA
protein	NA	NA	NA	PTPRR		Q15256	Q15256	viralprotein		protein	FALSE	Q15256	NA
protein	NA	NA	NA	PRC1		O43663	O43663	viralprotein		protein	FALSE	O43663	NA
protein;tf	NA	NA	NA	RARA		P10276	P10276	viralmirna;viralprotein		protein	FALSE	P10276	tf
protein	NA	NA	NA	MEF2C		Q06413	Q06413	viralmirna;viralprotein		protein	FALSE	Q06413	NA
bindingprot	bindingprot	NA	NA	TLR4		O00206	O00206	viralmirna		NA;protein	FALSE	O00206	NA
protein	NA	NA	NA	FARP1		Q9Y4F1	Q9Y4F1	viralprotein		protein	FALSE	Q9Y4F1	NA
protein	NA	NA	NA	CASP7		P55210	P55210	viralmirna;viralprotein		protein	FALSE	P55210	NA
protein	NA	NA	NA	PTPN1		P18031	P18031	viralprotein		protein	FALSE	P18031	NA
protein	NA	NA	NA	THRA		P10827	P10827	viralprotein		protein	FALSE	P10827	NA
protein	NA	NA	NA	XPC		Q01831	Q01831	viralprotein		protein	FALSE	Q01831	NA
protein	NA	NA	NA	TERT		O14746	O14746	viralmirna;viralprotein		protein	FALSE	O14746	NA
protein	NA	NA	NA	HGS		O14964	O14964	viralprotein		protein	FALSE	O14964	NA
