all_nodes	bindingprot_layer	cov_layer	deg_layer	gene_symbol	log2FoldChange	Matching.Attribute	name	node_source	padj	ppi_layer	selected	node	tf_layer
protein	NA	NA	NA	ANAPC7		Q9UJX3	Q9UJX3	viralmirna		protein	FALSE	Q9UJX3	NA
protein	NA	NA	NA	SAV1		Q9H4B6	Q9H4B6	viralmirna		protein	FALSE	Q9H4B6	NA
protein	NA	NA	NA	IL23A		Q9NPF7	Q9NPF7	viralmirna		protein	FALSE	Q9NPF7	NA
protein	NA	NA	NA	ANAPC13		Q9BS18	Q9BS18	viralmirna		protein	FALSE	Q9BS18	NA
protein	NA	NA	NA	ITGB8		P26012	P26012	viralmirna		protein	FALSE	P26012	NA
protein	NA	NA	NA	CTDSP1		Q9GZU7	Q9GZU7	viralmirna		protein	FALSE	Q9GZU7	NA
protein	NA	NA	NA	CXCL2	1.283049763	P19875	P19875	viralmirna	1.79E-28	protein	FALSE	P19875	NA
protein	NA	NA	NA	TCF7L1		Q9HCS4	Q9HCS4	viralmirna		protein	FALSE	Q9HCS4	NA
protein	NA	NA	NA	PTPRU		Q92729	Q92729	viralmirna		protein	FALSE	Q92729	NA
protein	NA	NA	NA	CDC23		Q9UJX2	Q9UJX2	viralmirna		protein	FALSE	Q9UJX2	NA
protein	NA	NA	NA	LAMB4		A4D0S4	A4D0S4	viralmirna		protein	FALSE	A4D0S4	NA
protein	NA	NA	NA	CTTN	-0.38359326	Q14247	Q14247	viralmirna	3.25E-07	protein	FALSE	Q14247	NA
protein	NA	NA	NA	BUB1B-PAK6		Q9NQU5	Q9NQU5	viralmirna		protein	FALSE	Q9NQU5	NA
protein	NA	NA	NA	MYD88	0.261830717	Q99836	Q99836	viralmirna	4.68E-09	protein	FALSE	Q99836	NA
protein	NA	NA	NA	SHH		Q15465	Q15465	viralmirna		protein	FALSE	Q15465	NA
protein	NA	NA	NA	UCHL5		Q9Y5K5	Q9Y5K5	viralmirna		protein	FALSE	Q9Y5K5	NA
protein	NA	NA	NA	DYNLL1	-0.681845957	P63167	P63167	viralmirna	5.04E-13	protein	FALSE	P63167	NA
protein	NA	NA	NA	SMARCAD1		Q9H4L7	Q9H4L7	viralmirna		protein	FALSE	Q9H4L7	NA
protein	NA	NA	NA	NCF1		P14598	P14598	viralmirna		protein	FALSE	P14598	NA
protein	NA	NA	NA	CDC16		Q13042	Q13042	viralmirna		protein	FALSE	Q13042	NA
protein	NA	NA	NA	ARHGEF7		Q14155	Q14155	viralmirna		protein	FALSE	Q14155	NA
protein	NA	NA	NA	ITGA10		O75578	O75578	viralmirna		protein	FALSE	O75578	NA
protein	NA	NA	NA	ACTB	-1.098147883	P60709	P60709	viralmirna	2.37E-44	protein	FALSE	P60709	NA
protein	NA	NA	NA	EIF4EBP3		O60516	O60516	viralmirna		protein	FALSE	O60516	NA
protein	NA	NA	NA	DDR2		Q16832	Q16832	viralmirna		protein	FALSE	Q16832	NA
protein	NA	NA	NA	SOAT1		P35610	P35610	viralmirna		protein	FALSE	P35610	NA
protein	NA	NA	NA	SP100	0.861210198	P23497	P23497	viralmirna	1.08E-35	protein	FALSE	P23497	NA
protein	NA	NA	NA	PAK4		O96013	O96013	viralmirna		protein	FALSE	O96013	NA
protein	NA	NA	NA	LAMC2	-0.406398325	Q13753	Q13753	viralmirna	1	protein	FALSE	Q13753	NA
protein	NA	NA	NA	LAMB1		P07942	P07942	viralmirna		protein	FALSE	P07942	NA
protein	NA	NA	NA	ID1		P41134	P41134	viralmirna		protein	FALSE	P41134	NA
protein	NA	NA	NA	ANAPC5		Q9UJX4	Q9UJX4	viralmirna		protein	FALSE	Q9UJX4	NA
protein	NA	NA	NA	MYBL2		P10244	P10244	viralmirna		protein	FALSE	P10244	NA
protein	NA	NA	NA	ABCA1		O95477	O95477	viralmirna		protein	FALSE	O95477	NA
protein	NA	NA	NA	SRF		P11831	P11831	viralmirna		protein	FALSE	P11831	NA
protein	NA	NA	NA	LAMC1		P11047	P11047	viralmirna		protein	FALSE	P11047	NA
protein	NA	NA	NA	LPL		P06858	P06858	viralmirna		protein	FALSE	P06858	NA
protein	NA	NA	NA	TLR6		Q9Y2C9	Q9Y2C9	viralmirna		protein	FALSE	Q9Y2C9	NA
protein	NA	NA	NA	LAMB3	-0.391721192	Q13751	Q13751	viralmirna	1	protein	FALSE	Q13751	NA
protein	NA	NA	NA	EGLN2		Q96KS0	Q96KS0	viralmirna		protein	FALSE	Q96KS0	NA
protein	NA	NA	NA	TPTEP2-CSNK1E		P49674	P49674	viralmirna		protein	FALSE	P49674	NA
protein	NA	NA	NA	DUSP6	0.251654069	Q16828	Q16828	viralmirna	1	protein	FALSE	Q16828	NA
protein	NA	NA	NA	MAPKAPK5		Q8IW41	Q8IW41	viralmirna		protein	FALSE	Q8IW41	NA
protein	NA	NA	NA	PPM1A		P35813	P35813	viralmirna		protein	FALSE	P35813	NA
protein	NA	NA	NA	NEK2		P51955	P51955	viralmirna		protein	FALSE	P51955	NA
protein	NA	NA	NA	WASL		O00401	O00401	viralmirna		protein	FALSE	O00401	NA
protein	NA	NA	NA	RPL10	-0.507129217	P27635	P27635	viralmirna	5.93E-07	protein	FALSE	P27635	NA
protein	NA	NA	NA	PLCB4	0.434390925	Q15147	Q15147	viralmirna	4.09E-11	protein	FALSE	Q15147	NA
protein	NA	NA	NA	SH3KBP1		Q96B97	Q96B97	viralmirna		protein	FALSE	Q96B97	NA
protein	NA	NA	NA	CXCR5		P32302	P32302	viralmirna		protein	FALSE	P32302	NA
protein	NA	NA	NA	GIT2		Q14161	Q14161	viralmirna		protein	FALSE	Q14161	NA
protein	NA	NA	NA	ERCC2		P18074	P18074	viralmirna		protein	FALSE	P18074	NA
protein	NA	NA	NA	GTF2F1		P35269	P35269	viralmirna		protein	FALSE	P35269	NA
protein	NA	NA	NA	HSF1		Q00613	Q00613	viralmirna		protein	FALSE	Q00613	NA
protein	NA	NA	NA	PPP2R1B		P30154	P30154	viralmirna		protein	FALSE	P30154	NA
protein	NA	NA	NA	RASA2		Q15283	Q15283	viralmirna		protein	FALSE	Q15283	NA
protein	NA	NA	NA	PRMT1		Q99873	Q99873	viralmirna		protein	FALSE	Q99873	NA
protein	NA	NA	NA	NFIC		P08651	P08651	viralmirna		protein	FALSE	P08651	NA
protein	NA	NA	NA	MAP3K8	0.393148574	P41279	P41279	viralmirna	1.03E-10	protein	FALSE	P41279	NA
protein	NA	NA	NA	RANBP1		P43487	P43487	viralmirna		protein	FALSE	P43487	NA
protein	NA	NA	NA	CXCR3		P49682	P49682	viralmirna		protein	FALSE	P49682	NA
protein	NA	NA	NA	INPP5D		Q92835	Q92835	viralmirna		protein	FALSE	Q92835	NA
protein	NA	NA	NA	BCL10		O95999	O95999	viralmirna		protein	FALSE	O95999	NA
protein	NA	NA	NA	CLK1	0.365148861	P49759	P49759	viralmirna	2.34E-09	protein	FALSE	P49759	NA
protein	NA	NA	NA	GHRL		Q9UBU3	Q9UBU3	viralmirna		protein	FALSE	Q9UBU3	NA
protein	NA	NA	NA	POLR2J		P52435	P52435	viralmirna		protein	FALSE	P52435	NA
protein	NA	NA	NA	SIN3A	0.259576429	Q96ST3	Q96ST3	viralmirna	0.001576309	protein	FALSE	Q96ST3	NA
protein	NA	NA	NA	CCNC		P24863	P24863	viralmirna		protein	FALSE	P24863	NA
protein	NA	NA	NA	GTF2H2		Q13888	Q13888	viralmirna		protein	FALSE	Q13888	NA
protein	NA	NA	NA	SH2B2		O14492	O14492	viralmirna		protein	FALSE	O14492	NA
protein	NA	NA	NA	TYRO3		Q06418	Q06418	viralmirna		protein	FALSE	Q06418	NA
protein	NA	NA	NA	MAF		O75444	O75444	viralmirna		protein	FALSE	O75444	NA
protein	NA	NA	NA	PITX2		Q99697	Q99697	viralmirna		protein	FALSE	Q99697	NA
protein	NA	NA	NA	EIF4G1		Q04637	Q04637	viralmirna		protein	FALSE	Q04637	NA
protein	NA	NA	NA	TICAM1	0.409955979	Q8IUC6	Q8IUC6	viralmirna	7.40E-09	protein	FALSE	Q8IUC6	NA
protein	NA	NA	NA	RPL11		P62913	P62913	viralmirna		protein	FALSE	P62913	NA
protein	NA	NA	NA	DYRK1B		Q9Y463	Q9Y463	viralmirna		protein	FALSE	Q9Y463	NA
protein	NA	NA	NA	ITGB5		P18084	P18084	viralmirna		protein	FALSE	P18084	NA
protein	NA	NA	NA	TUBB	-0.296081716	P07437	P07437	viralmirna	0.015246172	protein	FALSE	P07437	NA
protein	NA	NA	NA	IRF9		Q00978	Q00978	viralmirna		protein	FALSE	Q00978	NA
protein	NA	NA	NA	MERTK		Q12866	Q12866	viralmirna		protein	FALSE	Q12866	NA
protein	NA	NA	NA	GRAP		Q13588	Q13588	viralmirna		protein	FALSE	Q13588	NA
protein	NA	NA	NA	CSNK1G1		Q9HCP0	Q9HCP0	viralmirna		protein	FALSE	Q9HCP0	NA
protein	NA	NA	NA	POLR2A		P24928	P24928	viralmirna		protein	FALSE	P24928	NA
protein	NA	NA	NA	GTF2E1		P29083	P29083	viralmirna		protein	FALSE	P29083	NA
protein	NA	NA	NA	CAST	-0.359410517	P20810	P20810	viralmirna	2.31E-07	protein	FALSE	P20810	NA
protein	NA	NA	NA	LMTK2		Q8IWU2	Q8IWU2	viralmirna		protein	FALSE	Q8IWU2	NA
protein	NA	NA	NA	AATK		Q6ZMQ8	Q6ZMQ8	viralmirna		protein	FALSE	Q6ZMQ8	NA
protein	NA	NA	NA	RB1CC1		Q8TDY2	Q8TDY2	viralmirna		protein	FALSE	Q8TDY2	NA
protein	NA	NA	NA	DIAPH1	-0.282643612	O60610	O60610	viralmirna	0.001204964	protein	FALSE	O60610	NA
protein	NA	NA	NA	CASP10	0.399800305	Q92851	Q92851	viralmirna	1.05E-05	protein	FALSE	Q92851	NA
protein	NA	NA	NA	CIITA		P33076	P33076	viralmirna		protein	FALSE	P33076	NA
protein	NA	NA	NA	CBX4	0.275587652	O00257	O00257	viralmirna	2.90E-05	protein	FALSE	O00257	NA
protein	NA	NA	NA	CRTC2		Q53ET0	Q53ET0	viralmirna		protein	FALSE	Q53ET0	NA
protein	NA	NA	NA	NFKBIA	2.13530107	P25963	P25963	viralmirna	1.62E-48	protein	FALSE	P25963	NA
protein	NA	NA	NA	EBI3		Q14213	Q14213	viralmirna		protein	FALSE	Q14213	NA
protein	NA	NA	NA	STK38		Q15208	Q15208	viralmirna		protein	FALSE	Q15208	NA
protein	NA	NA	NA	CDC6		Q99741	Q99741	viralmirna		protein	FALSE	Q99741	NA
protein	NA	NA	NA	EIF4EBP2		Q13542	Q13542	viralmirna		protein	FALSE	Q13542	NA
protein	NA	NA	NA	RHOQ		P17081	P17081	viralmirna		protein	FALSE	P17081	NA
protein	NA	NA	NA	GTF2A1		P52655	P52655	viralmirna		protein	FALSE	P52655	NA
protein	NA	NA	NA	SOD2	0.654602144	P04179	P04179	viralmirna	4.81E-04	protein	FALSE	P04179	NA
deg	NA	NA	deg	HLA-A	-0.812997608	P30443	P30443	viralmirna	4.13E-27	NA	FALSE	P30443	NA
