,B.cell_control,CTL_control,MC_control,MoD.Ma_control,moDC_control,NKT_control,NKT.p_control,nrMa_control,pDC_control,rMa_control,Treg_control
SMIM1,NaN,NaN,4.488884201458341,NaN,NaN,NaN,1.799148802812601,2.11791123743951,NaN,NaN,NaN
LRRC47,4.2343294769637385,2.604366817872874,NaN,NaN,NaN,NaN,NaN,NaN,5.726997425074969,1.9042780777266748,6.024685083730602
CEP104,4.060742295113695,5.574619591666077,6.156092635306795,NaN,NaN,NaN,2.418283061707927,4.800712703560328,NaN,1.9042780777266748,5.453429009840288
DFFB,2.7289855565743775,NaN,NaN,NaN,NaN,NaN,2.048740466838966,NaN,NaN,4.876201391537377,3.5192666749296473
C1orf174,5.297715456664681,4.883742220817876,NaN,5.626361810315451,NaN,NaN,2.121003210239777,3.8246309937084564,NaN,NaN,5.7623090279968885
LINC01134,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NPHP4,2.9269311232612716,2.7815039902427054,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
KCNAB2,4.988799140117913,5.967281160456288,NaN,NaN,NaN,NaN,NaN,4.093048908313013,NaN,3.1097340879457995,5.866504294795251
RPL22,10.847168275335868,9.784926304054068,10.829309564634858,11.504171616217548,NaN,11.982558814452263,11.32950134874176,9.889298658394672,10.61639043164755,11.584400159186444,10.519425017881263
RP1-120G22.11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RNF207,NaN,NaN,NaN,NaN,NaN,NaN,4.572821121632387,NaN,NaN,NaN,3.051997284787554
ICMT,4.5632047846356745,3.3560659573364062,NaN,NaN,NaN,NaN,NaN,1.0579832751281777,NaN,NaN,4.427736725158876
LINC00337,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GPR153,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ACOT7,NaN,2.1726687293877407,7.115555679431361,NaN,NaN,8.671825305633394,2.4012376757942535,1.0579832751281777,NaN,0.9664325159347108,NaN
RP1-202O8.3,NaN,2.6649284133933264,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
HES2,NaN,NaN,NaN,NaN,NaN,NaN,4.78448291973573,NaN,NaN,NaN,NaN
ESPN,NaN,3.0978878206694325,NaN,NaN,NaN,NaN,3.7435013577292566,NaN,NaN,NaN,2.897650930711056
TNFRSF25,NaN,4.988767788232749,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.410428836543343
PLEKHG5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NOL9,5.770209659049528,5.575927174417141,NaN,NaN,NaN,NaN,6.466937306061875,NaN,NaN,NaN,6.173622953732643
ZBTB48,NaN,2.6330763510214825,NaN,NaN,NaN,NaN,4.748973124335152,4.24123521826407,NaN,NaN,3.0616615078897937
KLHL21,NaN,2.7815039902427054,NaN,NaN,NaN,NaN,-0.10067226176975268,2.1665026631401663,NaN,1.094125419379523,2.2060957962347967
PHF13,NaN,2.504714170629035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
THAP3,3.0183518951907216,NaN,NaN,NaN,NaN,NaN,NaN,3.340569347999323,NaN,0.9664325159347108,3.736484877180496
DNAJC11,2.3211204117946287,3.9483294720861273,NaN,4.456088442728701,NaN,NaN,4.212459366470275,1.296619295854298,NaN,NaN,3.0423973691573734
RP11-242F24.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-312B8.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CAMTA1,5.520468217567982,4.638972576943522,5.429201434433086,7.5001707223587735,NaN,NaN,7.710670599757434,6.202191692775083,NaN,6.533329758232125,5.77074260641979
VAMP3,3.912339879116064,4.564262957854561,NaN,5.4081291299366665,NaN,NaN,5.0001488153653915,3.6059027815124693,NaN,3.50053807310802,5.100888435690561
PER3,3.387992940071727,5.956518658267278,6.551004028276354,NaN,NaN,NaN,6.096632216986568,2.726954070825231,NaN,5.955899695730242,3.839389547041947
RP3-467L1.4,NaN,NaN,4.488884201458341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TNFRSF9,NaN,2.831563344901454,NaN,5.4081291299366665,NaN,NaN,NaN,NaN,NaN,NaN,5.665527414872094
PARK7,6.964946680301467,7.55487006758185,7.707445799557149,6.247512474177253,NaN,NaN,8.441741651354393,6.897694005580482,6.726997425074977,8.352718170955765,7.437107440075947
ERRFI1,NaN,3.430353369790815,NaN,4.408129129936669,NaN,NaN,1.484290238951402,5.6764511334351395,NaN,NaN,NaN
SLC45A1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RERE,6.302114197239221,4.88727338375646,7.115555679431361,6.156769346390537,NaN,NaN,7.487268327674521,4.935453713299648,7.5902799519119535,3.483500579298885,4.376072283938907
RP5-1115A15.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ENO1,7.280896931727684,7.800415414114728,8.60031905101357,7.862742857090492,NaN,NaN,9.098880218256692,8.080881439953439,5.726997425074969,8.889804766596566,6.6073062768351525
ENO1-AS1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
SLC2A5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
GPR157,NaN,3.421555614411759,NaN,8.47267369373932,NaN,NaN,-0.10067226176975268,3.117911237439509,NaN,3.1989800985038195,NaN
RP3-510D11.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP3-510D11.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
H6PD,4.625419746040125,5.839304405682269,5.488884201458341,NaN,NaN,NaN,3.6653516742727192,2.7161912950614395,NaN,3.518866419796057,4.6709626247662
SPSB1,NaN,2.6649284133933264,NaN,NaN,NaN,NaN,3.100310815086675,2.9511723469247038,NaN,NaN,2.1786326443262816
SLC25A33,3.9194290448706486,NaN,5.429201434433086,4.408129129936669,NaN,NaN,2.121003210239777,3.160797165660784,6.726997425074977,2.2895450895757077,3.7482505814946916
TMEM201,NaN,NaN,4.366942706528799,NaN,NaN,NaN,NaN,NaN,7.126630897272264,NaN,2.711511497738458
PIK3CD,5.23930539546922,6.462949374388217,NaN,NaN,NaN,NaN,NaN,3.470004419687751,NaN,4.434450046476812,7.127202591085462
C1orf200,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
RP11-558F24.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
CLSTN1,2.837325900515159,4.971040597867361,NaN,NaN,NaN,NaN,6.865546474262974,3.751632415558219,5.726997425074969,NaN,4.194967897011505
CTNNBIP1,4.232496042096455,3.385082950157939,NaN,NaN,NaN,NaN,6.446771733466924,4.329337546186684,NaN,NaN,4.057296694727907
LZIC,NaN,5.160527139352142,4.366942706528799,NaN,NaN,NaN,6.719230362492827,3.598172017792609,NaN,2.2895450895757077,5.752869799699116
NMNAT1,NaN,NaN,NaN,NaN,NaN,NaN,-0.10067226176975268,3.0086357989366155,NaN,NaN,NaN
RBP7,NaN,NaN,NaN,NaN,NaN,NaN,6.125556063889797,4.563818555233201,NaN,NaN,NaN
UBE4B,5.016157426515373,5.416311172995803,6.156092635306795,NaN,NaN,NaN,4.515149200513378,3.8986968692267077,NaN,NaN,5.400164555594452
KIF1B,4.984950453032089,NaN,4.488884201458341,5.233820654252601,NaN,NaN,0.8993277382302456,6.035172071162689,7.126630897272264,NaN,3.745225824899887
PGD,3.3211204117946287,5.136657224549612,5.429201434433086,NaN,NaN,NaN,4.712803112477591,5.381775445402136,5.726997425074969,5.423537057477232,3.417501802285859
APITD1,NaN,NaN,NaN,NaN,NaN,NaN,7.037123752359416,NaN,NaN,NaN,NaN
DFFA,4.27572368040455,6.071551793837892,6.522728167832974,NaN,NaN,NaN,NaN,1.9188512900057564,NaN,2.2895450895757077,3.694857617458255
PEX14,2.4272306015907907,2.2235085371218193,NaN,NaN,NaN,NaN,4.760330418664702,1.1754488219163417,NaN,NaN,2.1972691044678423
CASZ1,4.2343294769637385,2.6117553466077,NaN,NaN,NaN,NaN,5.875756505643398,NaN,7.940607694894714,1.094125419379523,2.3728788108652283
RP4-734G22.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
TARDBP,4.990258508481501,6.716401959972948,7.200760707737457,4.035520039427065,NaN,NaN,6.526412414874033,4.984833149275519,6.726997425074977,5.0831038392174905,7.381462182631359
RP4-635E18.8,4.0237178670568206,NaN,4.366942706528799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.682325995424475
SRM,5.546762206401745,5.652664520724909,6.374386923623364,NaN,NaN,8.671825305633394,6.397201532621636,4.227877586639221,NaN,5.777381550849202,5.559356514023699
EXOSC10,5.562205875688307,5.103052979854446,6.814815939441099,4.035520039427065,NaN,NaN,5.758633268892551,4.0086357989366155,6.726997425074977,2.543887772619839,6.032882025649015
RP4-635E18.7,NaN,NaN,4.488884201458341,NaN,NaN,NaN,5.302553536801718,NaN,NaN,NaN,NaN
RP4-635E18.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
MTOR,5.610387175562978,4.388236142424824,NaN,NaN,NaN,NaN,NaN,4.868862279808397,NaN,NaN,6.272653901341187
UBIAD1,NaN,4.589055895793299,NaN,NaN,NaN,NaN,NaN,2.9511723469247038,NaN,NaN,3.512632415958144
FBXO2,NaN,5.075100053979944,NaN,NaN,NaN,NaN,4.524748289076386,NaN,NaN,4.158171761489455,3.20168920077014
FBXO44,4.643858957581484,6.023427608405127,NaN,NaN,NaN,NaN,NaN,1.0046442892385439,NaN,NaN,5.198400939643972
FBXO6,2.9622795129194777,4.646871755871857,NaN,NaN,NaN,NaN,4.945957431154327,4.090284220291883,NaN,3.6567676327775147,4.496134087660245
