ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
CXCL11	CCR9	imm_enterocytes_2	upreg	22	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CCR9	ta	upreg	22	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CX3CR1	cycling_ta	upreg	8	DC1,DC2,ILC1,IgA_plasma,IgM_plasma,Tcyto,Treg,resident_macrophage
CXCL11	CX3CR1	enterocytes_1	upreg	8	DC1,DC2,ILC1,IgA_plasma,IgM_plasma,Tcyto,Treg,resident_macrophage
CXCL11	CX3CR1	imm_enterocytes_2	upreg	8	DC1,DC2,ILC1,IgA_plasma,IgM_plasma,Tcyto,Treg,resident_macrophage
CXCL11	CX3CR1	ta	upreg	8	DC1,DC2,ILC1,IgA_plasma,IgM_plasma,Tcyto,Treg,resident_macrophage
CXCL11	CXCR1	cycling_ta	upreg	1	CD8_Trm_cyto
CXCL11	CXCR1	enterocytes_1	upreg	1	CD8_Trm_cyto
CXCL11	CXCR1	imm_enterocytes_2	upreg	1	CD8_Trm_cyto
CXCL11	CXCR1	ta	upreg	1	CD8_Trm_cyto
CXCL11	CXCR2	cycling_ta	upreg	13	CD8_Trm,DC1,DC2,ILC1,ILC3,IgA_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,naive_Bcell,resident_macrophage
CXCL11	CXCR2	enterocytes_1	upreg	13	CD8_Trm,DC1,DC2,ILC1,ILC3,IgA_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,naive_Bcell,resident_macrophage
CXCL11	CXCR2	imm_enterocytes_2	upreg	13	CD8_Trm,DC1,DC2,ILC1,ILC3,IgA_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,naive_Bcell,resident_macrophage
CXCL11	CXCR2	ta	upreg	13	CD8_Trm,DC1,DC2,ILC1,ILC3,IgA_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,naive_Bcell,resident_macrophage
CXCL11	CXCR3	cycling_ta	upreg	21	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR3	enterocytes_1	upreg	21	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR3	imm_enterocytes_2	upreg	21	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR3	ta	upreg	21	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR4	cycling_ta	upreg	24	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR4	enterocytes_1	upreg	24	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR4	imm_enterocytes_2	upreg	24	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
CXCL11	CXCR4	ta	upreg	24	CD8_Trm,CD8_Trm_cyto,DC1,DC2,ILC1,ILC3,IgA_plasma,IgG_plasma,IgM_plasma,TFH_like,Tcyto,Tmem,Treg,Trm,Trm_Th17,activated_Tcell,gd_Tcell,inf_macrophage,mast_cell,mem_Bcell,naive_Bcell,naive_Tcell,plasmablast,resident_macrophage
