ligand	receptor	ligand_cell_source	ligand_dir	target_cell_counts	receptor_cell_target
LAMB3	ITGB1	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMB3	ITGB3	imm_enterocyte_2	downreg	1	plasma
LAMB3	ITGB4	imm_enterocyte_2	downreg	9	CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_IEL,CD8_IL17,CD8_LP,NK,cycling_Bcell,macrophage,plasma
LAMB3	ITGB5	imm_enterocyte_2	downreg	7	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_LP,DC2,macrophage,plasma
LAMB3	ITGB6	imm_enterocyte_2	downreg	6	CD4_MThi,CD8_IEL,CD8_LP,cycling_Bcell,macrophage,plasma
LAMB3	ITGB7	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMB3	ITGB8	imm_enterocyte_2	downreg	9	CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_LP,DC2,Treg,macrophage,plasma
LAMB3	PRNP	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMC2	AKT1	imm_enterocyte_2	downreg	19	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,plasma
LAMC2	CD151	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
LAMC2	COL17A1	imm_enterocyte_2	downreg	5	CD4_MThi,CD4_activ_fos_hi,CD8_IEL,cycling_Tcell,plasma
LAMC2	ITGA1	imm_enterocyte_2	downreg	14	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,NK,Treg,cycling_Tcell,macrophage,plasma
LAMC2	ITGA10	imm_enterocyte_2	downreg	12	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,ILC,cycling_Bcell,macrophage,plasma
LAMC2	ITGA11	imm_enterocyte_2	downreg	2	macrophage,plasma
LAMC2	ITGA2	imm_enterocyte_2	downreg	8	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD8_IEL,CD8_LP,cycling_Tcell,macrophage,plasma
LAMC2	ITGA3	imm_enterocyte_2	downreg	13	CD4_MThi,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC2,NK,Treg,mast_cell1,mast_cell2,plasma
LAMC2	ITGA4	imm_enterocyte_2	downreg	20	CD4_MThi,CD4_PD1,CD4_activ_fos_hi,CD4_activ_fos_lo,CD4_memory,CD8_IEL,CD8_IL17,CD8_LP,DC1,DC2,GC_Bcell,ILC,NK,Treg,cycling_Bcell,cycling_Tcell,macrophage,mast_cell1,mast_cell2,plasma
