gene	p_val	avg_logFC	pct.1	pct.2	p_val_adj	comparison
PRDX1	0.00000	0.73509	0.98400	0.97700	0.00000	ciliated_sars_vs_healthy
SERF2	0.00000	0.73983	0.96300	0.96600	0.00000	ciliated_sars_vs_healthy
ARPC3	0.00000	0.74269	0.94900	0.90100	0.00000	ciliated_sars_vs_healthy
ATP5I	0.00000	0.74420	0.95100	0.86800	0.00000	ciliated_sars_vs_healthy
POMP	0.00000	0.74558	0.94500	0.81700	0.00000	ciliated_sars_vs_healthy
NQO1	0.00000	0.74698	0.86600	0.65800	0.00000	ciliated_sars_vs_healthy
USMG5	0.00000	0.74818	0.92500	0.80000	0.00000	ciliated_sars_vs_healthy
C19orf10	0.00000	0.74937	0.88800	0.61300	0.00000	ciliated_sars_vs_healthy
RPS29	0.00000	0.75172	0.95900	0.94900	0.00000	ciliated_sars_vs_healthy
GNG5	0.00000	0.75486	0.93800	0.85200	0.00000	ciliated_sars_vs_healthy
BST2	0.00000	0.75988	0.88500	0.62400	0.00000	ciliated_sars_vs_healthy
CYBA	0.00000	0.76176	0.93700	0.90300	0.00000	ciliated_sars_vs_healthy
HLA-C	0.00000	0.76724	0.98100	0.97000	0.00000	ciliated_sars_vs_healthy
OAS1	0.00000	0.77057	0.87800	0.50800	0.00000	ciliated_sars_vs_healthy
HLA-DRB1	0.00000	0.78059	0.87500	0.62500	0.00000	ciliated_sars_vs_healthy
PSMB10	0.00000	0.78059	0.85100	0.42100	0.00000	ciliated_sars_vs_healthy
DYNLL1	0.00000	0.78225	0.91000	0.83200	0.00000	ciliated_sars_vs_healthy
COX17	0.00000	0.78312	0.91500	0.64500	0.00000	ciliated_sars_vs_healthy
ROMO1	0.00000	0.78680	0.92700	0.74600	0.00000	ciliated_sars_vs_healthy
PPDPF	0.00000	0.78870	0.96700	0.96800	0.00000	ciliated_sars_vs_healthy
FTH1	0.00000	0.79413	0.91700	0.97700	0.00000	ciliated_sars_vs_healthy
TMEM258	0.00000	0.79927	0.92300	0.73200	0.00000	ciliated_sars_vs_healthy
ISG20	0.00000	0.80165	0.80400	0.34400	0.00000	ciliated_sars_vs_healthy
XBP1	0.00000	0.80443	0.97000	0.89000	0.00000	ciliated_sars_vs_healthy
CXCL17	0.00000	0.80612	0.97200	0.91800	0.00000	ciliated_sars_vs_healthy
MIF	0.00000	0.81587	0.89200	0.72500	0.00000	ciliated_sars_vs_healthy
RARRES1	0.00000	0.82127	0.82500	0.50000	0.00000	ciliated_sars_vs_healthy
PSME1	0.00000	0.82729	0.95000	0.83000	0.00000	ciliated_sars_vs_healthy
COX7A2	0.00000	0.82781	0.94100	0.89900	0.00000	ciliated_sars_vs_healthy
TMSB4X	0.00000	0.83246	0.96900	0.96900	0.00000	ciliated_sars_vs_healthy
FAM3D	0.00000	0.83758	0.96400	0.83900	0.00000	ciliated_sars_vs_healthy
ATP5E	0.00000	0.84574	0.95400	0.91700	0.00000	ciliated_sars_vs_healthy
CBR1	0.00000	0.84758	0.90800	0.66900	0.00000	ciliated_sars_vs_healthy
MDK	0.00000	0.84943	0.96100	0.86800	0.00000	ciliated_sars_vs_healthy
PDZK1IP1	0.00000	0.85664	0.78000	0.36600	0.00000	ciliated_sars_vs_healthy
